dataset	signature	seed	product_rf_f1-micro	sklearn_rf_f1-micro	product_rf_f1-macro	sklearn_rf_f1-macro	product_rf_accuracy	sklearn_rf_accuracy	product_rf_time	sklearn_rf_time
gaussian	H512	1	0.865	0.87	0.8549529024126944	0.8645992758351363	0.865	0.87	0.523653507232666	0.04711651802062988
gaussian	H512	2	0.855	0.81	0.7821086125542089	0.6994936900716456	0.855	0.81	0.5073461532592773	0.04373574256896973
gaussian	H512	3	0.845	0.845	0.8388477535536358	0.7421719961887258	0.845	0.845	0.4844627380371094	0.0435330867767334
gaussian	H512	4	0.86	0.86	0.7249254485238467	0.7067905196069754	0.86	0.86	0.48934030532836914	0.04315376281738281
gaussian	H512	5	0.79	0.87	0.6954367972965985	0.8306539367859448	0.79	0.87	0.48296165466308594	0.04386448860168457
gaussian	H512	6	0.88	0.9	0.8727664538047832	0.9023743515612419	0.88	0.9	0.4768517017364502	0.0427546501159668
gaussian	H512	7	0.82	0.845	0.6952489863947819	0.7871794109780379	0.82	0.845	0.46088743209838867	0.043129682540893555
gaussian	H512	8	0.905	0.885	0.9095921201642387	0.8803353094906331	0.905	0.885	0.46770620346069336	0.04253816604614258
gaussian	H512	9	0.855	0.89	0.7640203570942772	0.7846788628038628	0.855	0.89	0.5025839805603027	0.04258298873901367
gaussian	H512	10	0.85	0.905	0.7285653961568151	0.7999833119355668	0.85	0.905	0.44959521293640137	0.0442655086517334
gaussian	H512	11	0.86	0.93	0.8356167341270786	0.9157181557274798	0.86	0.93	0.4765305519104004	0.043205976486206055
gaussian	H512	12	0.87	0.905	0.6617385015583306	0.6866446332151743	0.87	0.905	0.46100330352783203	0.04283022880554199
gaussian	H512	13	0.855	0.865	0.640228973271141	0.655312395300538	0.855	0.865	0.4753103256225586	0.04335331916809082
gaussian	H512	14	0.855	0.83	0.832520421795808	0.8128918233960251	0.855	0.83	0.6186583042144775	0.04309558868408203
gaussian	H512	15	0.805	0.855	0.711621801982781	0.7666873346657421	0.805	0.855	0.46865415573120117	0.04318523406982422
