dataset        	 signature	 seed	 ambient_gnn_f1-micro	 ambient_mlp_f1-micro	 kappa_gcn_f1-micro	 knn_f1-micro	 product_dt_f1-micro	 product_mlr_f1-micro	 product_rf_f1-micro	 ps_perceptron_f1-micro	 single_manifold_rf_f1-micro	 sklearn_dt_f1-micro	 sklearn_rf_f1-micro	 tangent_dt_f1-micro	 tangent_gnn_f1-micro	 tangent_mlp_f1-micro	 tangent_rf_f1-micro	 ambient_gnn_f1-macro	 ambient_mlp_f1-macro	 kappa_gcn_f1-macro  	 knn_f1-macro       	 product_dt_f1-macro	 product_mlr_f1-macro	 product_rf_f1-macro	 ps_perceptron_f1-macro	 single_manifold_rf_f1-macro	 sklearn_dt_f1-macro	 sklearn_rf_f1-macro	 tangent_dt_f1-macro	 tangent_gnn_f1-macro	 tangent_mlp_f1-macro	 tangent_rf_f1-macro	 ambient_gnn_accuracy	 ambient_mlp_accuracy	 kappa_gcn_accuracy	 knn_accuracy	 product_dt_accuracy	 product_mlr_accuracy	 product_rf_accuracy	 ps_perceptron_accuracy	 single_manifold_rf_accuracy	 sklearn_dt_accuracy	 sklearn_rf_accuracy	 tangent_dt_accuracy	 tangent_gnn_accuracy	 tangent_mlp_accuracy	 tangent_rf_accuracy	 ambient_gnn_time  	 ambient_mlp_time  	 kappa_gcn_time    	 knn_time             	 product_dt_time    	 product_mlr_time   	 product_rf_time   	 ps_perceptron_time  	 single_manifold_rf_time	 sklearn_dt_time      	 sklearn_rf_time     	 tangent_dt_time      	 tangent_gnn_time  	 tangent_mlp_time  	 tangent_rf_time
single_gaussian	 H-4      	    0	                0.1  	                0.09 	              0.145	        0.48 	               0.455	                0.185	               0.51 	                  0.27 	                       0.45 	               0.39 	               0.405	               0.465	                0.13 	                0.135	               0.445	 0.022727272727272728	  0.06561147186147187	 0.053684359119141725	 0.47274254974142094	 0.4103603592102625 	  0.13996186293791324	 0.4894804219631349 	    0.0531496062992126 	         0.4549851015625742 	 0.3713584088415992 	 0.3843011094210671 	 0.4456854086556674 	  0.04343903562653563	  0.0928641148889325 	 0.45107259958638296	                0.1  	                0.09 	              0.145	        0.48 	               0.455	                0.185	               0.51 	                  0.27 	                       0.45 	               0.39 	               0.405	               0.465	                0.13 	                0.135	               0.445	 1.5831260681152344	 3.124356746673584 	 2.342949628829956 	 0.20364022254943848  	 0.1377274990081787 	 0.6545705795288086 	 0.8988702297210693	 0.041579484939575195	      15.148997783660889	 0.0024275779724121094	 0.03409862518310547 	 0.001180887222290039 	 1.1765758991241455	 0.9334325790405273	 0.043519020080566406
single_gaussian	 H-2      	    0	                0.1  	                0.225	              0.145	        0.44 	               0.395	                0.145	               0.415	                  0.165	                       0.32 	               0.355	               0.345	               0.415	                0.2  	                0.175	               0.4  	 0.022727272727272728	  0.21094672510131277	 0.06286548526751098 	 0.43522584796192054	 0.3802636033257207 	  0.10863095238095238	 0.3888938970176537 	    0.03540772532188841	         0.3269060321921568 	 0.32474128540305014	 0.32094536158833026	 0.3731466383079286 	  0.16309674080348927	  0.13482940000980692	 0.3569049160327051 	                0.1  	                0.225	              0.145	        0.44 	               0.395	                0.145	               0.415	                  0.165	                       0.32 	               0.355	               0.345	               0.415	                0.2  	                0.175	               0.4  	 1.2114777565002441	 0.9365260601043701	 1.2286098003387451	 0.11674046516418457  	 0.0801856517791748 	 0.665916919708252  	 0.9282064437866211	 0.035625457763671875	      16.336382627487183	 0.0017659664154052734	 0.03346967697143555 	 0.001184701919555664 	 1.2037334442138672	 0.9383711814880371	 0.03429865837097168
single_gaussian	 H-1      	    0	                0.1  	                0.26 	              0.145	        0.345	               0.335	                0.13 	               0.36 	                  0.165	                       0.295	               0.305	               0.365	               0.34 	                0.175	                0.185	               0.35 	 0.022727272727272728	  0.21387351074851074	 0.07512437256161386 	 0.3242192746356491 	 0.2794075793213724 	  0.09281727127561673	 0.3106449557107452 	    0.03540772532188841	         0.2835884945738938 	 0.2809399401659962 	 0.32625778569080466	 0.277332408088987  	  0.11123426773455378	  0.14819483281010615	 0.32660664454213006	                0.1  	                0.26 	              0.145	        0.345	               0.335	                0.13 	               0.36 	                  0.165	                       0.295	               0.305	               0.365	               0.34 	                0.175	                0.185	               0.35 	 1.226447582244873 	 0.9743945598602295	 1.1244938373565674	 0.0030059814453125   	 0.09446144104003906	 0.6435728073120117 	 1.0162394046783447	 0.036421775817871094	      18.559278964996338	 0.0015971660614013672	 0.03292346000671387 	 0.0012080669403076172	 1.1719026565551758	 0.9679267406463623	 0.03396153450012207
single_gaussian	 H-0.5    	    0	                0.155	                0.23 	              0.175	        0.295	               0.3  	                0.145	               0.305	                  0.165	                       0.27 	               0.285	               0.305	               0.275	                0.195	                0.2  	               0.32 	 0.06532608695652173 	  0.12067417376740255	 0.09966483226977342 	 0.27430618747248803	 0.2668248118248118 	  0.12212605918949468	 0.2512838718469073 	    0.03540772532188841	         0.2617490584484659 	 0.24619184900453378	 0.26244112118531626	 0.21734498859962123	  0.12597750780640127	  0.16515811731182858	 0.2698032033925547 	                0.155	                0.23 	              0.175	        0.295	               0.3  	                0.145	               0.305	                  0.165	                       0.27 	               0.285	               0.305	               0.275	                0.195	                0.2  	               0.32 	 1.2101798057556152	 0.9572093486785889	 1.2249343395233154	 0.0033752918243408203	 0.0906529426574707 	 0.6609199047088623 	 1.005889654159546 	 0.036509037017822266	      19.41171431541443 	 0.0016260147094726562	 0.032282114028930664	 0.0012111663818359375	 1.204869270324707 	 0.9470095634460449	 0.033892154693603516
single_gaussian	 H-0.25   	    0	                0.165	                0.24 	              0.17 	        0.285	               0.33 	                0.16 	               0.305	                  0.165	                       0.24 	               0.325	               0.265	               0.305	                0.19 	                0.2  	               0.28 	 0.03540772532188841 	  0.13058822142326088	 0.10518264850749119 	 0.24862329019801868	 0.23666268800949136	  0.13398282720863366	 0.24981393785946487	    0.03540772532188841	         0.2151797033375981 	 0.24717467516380562	 0.2300892913144317 	 0.24244493197323383	  0.12563346419268423	  0.1687568082788671 	 0.23451667159973327	                0.165	                0.24 	              0.17 	        0.285	               0.33 	                0.16 	               0.305	                  0.165	                       0.24 	               0.325	               0.265	               0.305	                0.19 	                0.2  	               0.28 	 1.2305126190185547	 0.9596436023712158	 1.2429373264312744	 0.003266572952270508 	 0.07819509506225586	 0.6595451831817627 	 0.9762680530548096	 0.03695058822631836 	      18.285430431365967	 0.0016329288482666016	 0.03382754325866699 	 0.0011868476867675781	 1.2262084484100342	 0.9680185317993164	 0.034542083740234375
single_gaussian	 E        	    0	                0.175	                0.145	              0.275	        0.255	               0.255	                0.165	               0.3  	                  0.17 	                       0.2  	               0.275	               0.285	               0.275	                0.245	                0.145	               0.285	 0.10966043491283219 	  0.0897243893377914 	 0.19932682516635405 	 0.21642212425479554	 0.1965998726458119 	  0.13499267745632265	 0.23374316584735616	    0.11714994829308038	         0.17094095739232512	 0.20875483633911998	 0.19330907718922447	 0.2091466198814519 	  0.1824840245716205 	  0.1169241867478003 	 0.19330907718922447	                0.175	                0.145	              0.275	        0.255	               0.255	                0.165	               0.3  	                  0.17 	                       0.2  	               0.275	               0.285	               0.275	                0.245	                0.145	               0.285	 1.2943201065063477	 1.0078017711639404	 0.9109842777252197	 0.0030171871185302734	 0.08777904510498047	 0.46508026123046875	 0.9477658271789551	 0.06927132606506348 	      17.890690803527832	 0.0012493133544921875	 0.03198671340942383 	 0.0012209415435791016	 1.3193414211273193	 1.0022485256195068	 0.033617496490478516
single_gaussian	 S0.25    	    0	                0.205	                0.205	              0.225	        0.265	               0.305	                0.18 	               0.29 	                  0.27 	                       0.2  	               0.295	               0.305	               0.235	                0.17 	                0.16 	               0.255	 0.10785877802006835 	  0.1741827910721226 	 0.12249005656991094 	 0.2034730758332041 	 0.21503496503496505	  0.15057763158313722	 0.22317307085055818	    0.0531496062992126 	         0.1877005229991683 	 0.21855872964109718	 0.23296632517457946	 0.18138002639341716	  0.12007575757575757	  0.09658695697695645	 0.21419564096581772	                0.205	                0.205	              0.225	        0.265	               0.305	                0.18 	               0.29 	                  0.27 	                       0.2  	               0.295	               0.305	               0.235	                0.17 	                0.16 	               0.255	 1.2189154624938965	 0.9385271072387695	 1.5655632019042969	 0.00436854362487793  	 0.08225202560424805	 0.6702361106872559 	 0.9652581214904785	 0.0412135124206543  	      17.830329656600952	 0.0017414093017578125	 0.03206491470336914 	 0.0012173652648925781	 1.2254838943481445	 0.9473483562469482	 0.03375720977783203
single_gaussian	 S0.5     	    0	                0.205	                0.17 	              0.215	        0.255	               0.255	                0.18 	               0.28 	                  0.27 	                       0.235	               0.27 	               0.3  	               0.24 	                0.175	                0.16 	               0.275	 0.12381524476082666 	  0.14737193450428743	 0.1208131982119189  	 0.19698164591256695	 0.19651082780794504	  0.12259335269290442	 0.21482722950808059	    0.0531496062992126 	         0.21675650364662608	 0.1808351851856715 	 0.19031145100686506	 0.16411857057416268	  0.1312795044274461 	  0.11332618255118705	 0.17369101075997628	                0.205	                0.17 	              0.215	        0.255	               0.255	                0.18 	               0.28 	                  0.27 	                       0.235	               0.27 	               0.3  	               0.24 	                0.175	                0.16 	               0.275	 1.2225592136383057	 0.9627785682678223	 1.5740876197814941	 0.00397038459777832  	 0.08627963066101074	 0.6726782321929932 	 1.004990577697754 	 0.03712964057922363 	      18.348409414291382	 0.0016255378723144531	 0.032720088958740234	 0.0011930465698242188	 1.2232263088226318	 0.9606013298034668	 0.03284907341003418
