dataset	signature	seed	sklearn_dt_f1-micro	sklearn_dt_f1-macro	sklearn_dt_accuracy	sklearn_dt_time
adjnoun	HES	0	0.9376181474480151	0.5378934272176192	0.9376181474480151	0.02237081527709961
dolphins	HES	0	0.9822485207100592	0.9163504372215805	0.9822485207100592	0.004961729049682617
football	HES	0	0.8979591836734694	0.4731182795698925	0.8979591836734694	0.0023965835571289062
karate_club	HES	0	1.0	1.0	1.0	0.0014941692352294922
lesmis	HES	0	0.9140625	0.8086696562032885	0.9140625	0.009249448776245117
polbooks	HES	0	0.9478458049886621	0.8324163568773234	0.9478458049886621	0.020459651947021484
