dataset	signature	seed	sklearn_dt_f1-micro	sklearn_dt_f1-macro	sklearn_dt_accuracy	sklearn_dt_mse	sklearn_dt_rmse	sklearn_dt_time
citeseer	HH	0	0.23933649289099526	0.15588133441848798	0.23933649289099526			0.005461931228637695
cora	H	0	0.2655935613682093	0.07824864063879881	0.2655935613682093			0.00545048713684082
polblogs	SS	0	0.9387755102040817	0.9387591861220816	0.9387755102040817			0.003106832504272461
cs_phds	H	0				365.64883159422754	19.12194633383923	0.0019037723541259766
