dataset	signature	seed	ambient_gnn_f1-micro	ambient_mlp_f1-micro	kappa_gcn_f1-micro	knn_f1-micro	product_dt_f1-micro	product_mlr_f1-micro	product_rf_f1-micro	ps_perceptron_f1-micro	sklearn_dt_f1-micro	sklearn_rf_f1-micro	tangent_dt_f1-micro	tangent_gnn_f1-micro	tangent_mlp_f1-micro	tangent_rf_f1-micro	ambient_gnn_f1-macro	ambient_mlp_f1-macro	kappa_gcn_f1-macro	knn_f1-macro	product_dt_f1-macro	product_mlr_f1-macro	product_rf_f1-macro	ps_perceptron_f1-macro	sklearn_dt_f1-macro	sklearn_rf_f1-macro	tangent_dt_f1-macro	tangent_gnn_f1-macro	tangent_mlp_f1-macro	tangent_rf_f1-macro	ambient_gnn_accuracy	ambient_mlp_accuracy	kappa_gcn_accuracy	knn_accuracy	product_dt_accuracy	product_mlr_accuracy	product_rf_accuracy	ps_perceptron_accuracy	sklearn_dt_accuracy	sklearn_rf_accuracy	tangent_dt_accuracy	tangent_gnn_accuracy	tangent_mlp_accuracy	tangent_rf_accuracy	ambient_gnn_time	ambient_mlp_time	kappa_gcn_time	knn_time	product_dt_time	product_mlr_time	product_rf_time	ps_perceptron_time	sklearn_dt_time	sklearn_rf_time	tangent_dt_time	tangent_gnn_time	tangent_mlp_time	tangent_rf_time
landmasses	S	0	0.655	0.605	0.64	0.895	0.86	0.635	0.875	0.705	0.845	0.89	0.845	0.665	0.59	0.86	0.6329689619404771	0.572684246112238	0.6116923740696796	0.8528948197961542	0.8107852412488175	0.6027318984517428	0.8099654137052944	0.6747429642492901	0.7507136826022275	0.8213125406107862	0.7760034683333936	0.6436075427537966	0.5602745602745602	0.7678660255347372	0.655	0.605	0.64	0.895	0.86	0.635	0.875	0.705	0.845	0.89	0.845	0.665	0.59	0.86	1.3289334774017334	1.0537235736846924	1.5725085735321045	0.002773284912109375	0.07977080345153809	0.6601591110229492	0.8310294151306152	0.01505422592163086	0.0013790130615234375	0.03281140327453613	0.0011184215545654297	1.3280653953552246	1.0461406707763672	0.03225088119506836
neuron_33	S10	0	0.5094339622641509	0.5377358490566038	0.5377358490566038	0.5943396226415094	0.839622641509434	0.5377358490566038	0.8207547169811321	0.5	0.8490566037735849	0.7735849056603774	0.839622641509434	0.5377358490566038	0.6037735849056604	0.8018867924528302	0.5007246376811594	0.5223908045977012	0.5223908045977012	0.5943035157988429	0.837173579109063	0.5223908045977012	0.8188034188034188	0.3333333333333333	0.8455373406193079	0.7695652173913043	0.8353886909655613	0.5223908045977012	0.6015037593984962	0.7988614800759013	0.5094339622641509	0.5377358490566038	0.5377358490566038	0.5943396226415094	0.839622641509434	0.5377358490566038	0.8207547169811321	0.5	0.8490566037735849	0.7735849056603774	0.839622641509434	0.5377358490566038	0.6037735849056604	0.8018867924528302	1.313948392868042	1.0203804969787598	13.348841428756714	0.0058612823486328125	0.018445253372192383	5.358733654022217	0.3169434070587158	0.013516664505004883	0.0015683174133300781	0.032062530517578125	0.0017299652099609375	1.3138422966003418	1.0176663398742676	0.034638166427612305
neuron_46	S10	0	0.5	0.535	0.52	0.52	0.59	0.51	0.575	0.495	0.645	0.59	0.635	0.525	0.52	0.585	0.46943972835314096	0.5316159250585479	0.5182657567242072	0.51995199519952	0.59	0.5068438003220612	0.5719070282793182	0.3311036789297659	0.6384100226630338	0.5896306676008407	0.6301081806896203	0.49967083607636603	0.517636418450407	0.5826524198617222	0.5	0.535	0.52	0.52	0.59	0.51	0.575	0.495	0.645	0.59	0.635	0.525	0.52	0.585	1.4065444469451904	1.054060935974121	13.63830304145813	0.006562948226928711	0.05702543258666992	5.3380632400512695	0.7975502014160156	0.01361989974975586	0.00424647331237793	0.033188581466674805	0.002529621124267578	1.3926749229431152	1.055448055267334	0.03626441955566406
