dataset	signature	seed	product_rf_f1-micro	sklearn_rf_f1-micro	product_rf_f1-macro	sklearn_rf_f1-macro	product_rf_accuracy	sklearn_rf_accuracy	product_rf_time	sklearn_rf_time
gaussian	H1024	1	0.875	0.9	0.7634209102310618	0.8510691703905859	0.875	0.9	0.6098182201385498	0.046099185943603516
gaussian	H1024	2	0.92	0.92	0.9332404854783372	0.9269029243942508	0.92	0.92	0.5390315055847168	0.05484437942504883
gaussian	H1024	3	0.9	0.85	0.68530550430928	0.645689533086677	0.9	0.85	0.5758786201477051	0.04483461380004883
gaussian	H1024	4	0.87	0.88	0.7457324245896841	0.8360101573700518	0.87	0.88	0.5310842990875244	0.04468035697937012
gaussian	H1024	5	0.865	0.88	0.8151922817319699	0.8240606458738182	0.865	0.88	0.5480520725250244	0.05431628227233887
gaussian	H1024	6	0.855	0.9	0.8439315903577651	0.8808221407549497	0.855	0.9	0.5595402717590332	0.044095754623413086
gaussian	H1024	7	0.865	0.875	0.7505149719138107	0.7562576248833766	0.865	0.875	0.5769197940826416	0.04380965232849121
gaussian	H1024	8	0.86	0.925	0.8519693668846027	0.9114309157511534	0.86	0.925	0.5464842319488525	0.04437732696533203
gaussian	H1024	9	0.86	0.855	0.8030905464045	0.7854213136563488	0.86	0.855	0.5501725673675537	0.04414010047912598
gaussian	H1024	10	0.92	0.885	0.9070414361877076	0.8459196872535867	0.92	0.885	0.5628392696380615	0.05433511734008789
gaussian	S1024	11	0.59	0.565	0.5066804384246245	0.532479844718762	0.59	0.565	0.5711948871612549	0.05363011360168457
gaussian	S1024	12	0.62	0.585	0.5922018259263813	0.5723566068078263	0.62	0.585	0.5671968460083008	0.04410409927368164
gaussian	S1024	13	0.685	0.545	0.6668868827980536	0.5024846407166552	0.685	0.545	0.5666680335998535	0.05347299575805664
gaussian	S1024	14	0.62	0.525	0.5899572881144465	0.465535356885976	0.62	0.525	0.5710327625274658	0.05370020866394043
gaussian	S1024	15	0.645	0.6	0.5669811058290417	0.5321982823674631	0.645	0.6	0.5650193691253662	0.053937435150146484
gaussian	S1024	16	0.63	0.57	0.6000318028677745	0.5147762595841429	0.63	0.57	0.5689826011657715	0.05340075492858887
gaussian	S1024	17	0.635	0.625	0.5395191288192386	0.5766785090154656	0.635	0.625	0.5628297328948975	0.054402828216552734
gaussian	S1024	18	0.65	0.585	0.5886956798583522	0.5332586196964639	0.65	0.585	0.5632667541503906	0.053842782974243164
gaussian	S1024	19	0.695	0.615	0.6662270675178283	0.557166922815419	0.695	0.615	0.5667116641998291	0.04387378692626953
gaussian	S1024	20	0.64	0.615	0.5221573294437138	0.4918373724489795	0.64	0.615	0.5657932758331299	0.0444180965423584
gaussian	HH1024	21	0.685	0.72	0.6384433649125595	0.6520307111755497	0.685	0.72	0.5944273471832275	0.045278072357177734
gaussian	HH1024	22	0.74	0.7	0.624574106617183	0.5465803505437652	0.74	0.7	0.5771374702453613	0.04357576370239258
gaussian	HH1024	23	0.685	0.675	0.5826756442210844	0.5700541257882616	0.685	0.675	0.5828571319580078	0.04353976249694824
gaussian	HH1024	24	0.735	0.735	0.6319800287078589	0.6476022638319501	0.735	0.735	0.5662505626678467	0.0439915657043457
gaussian	HH1024	25	0.695	0.735	0.5123338181568501	0.5547324910634263	0.695	0.735	0.580897331237793	0.04423260688781738
gaussian	HH1024	26	0.755	0.71	0.7075404119273113	0.596401193419313	0.755	0.71	0.6013956069946289	0.05491304397583008
gaussian	HH1024	27	0.705	0.71	0.5840841916373152	0.6020680840320429	0.705	0.71	0.5912017822265625	0.05358386039733887
gaussian	HH1024	28	0.73	0.67	0.7258400866586984	0.6302124378459517	0.73	0.67	0.5807216167449951	0.04357624053955078
gaussian	HH1024	29	0.68	0.685	0.6036812763924565	0.6242532622338288	0.68	0.685	0.5939071178436279	0.043869733810424805
