dataset	signature	seed	sklearn_dt_f1-micro	sklearn_dt_f1-macro	sklearn_dt_accuracy	sklearn_dt_mse	sklearn_dt_rmse	sklearn_dt_time
landmasses	S	0	0.86	0.7926233150644348	0.86			0.0013833045959472656
neuron_33	S10	0	0.8490566037735849	0.8455373406193079	0.8490566037735849			0.0015420913696289062
neuron_46	S10	0	0.645	0.6384100226630338	0.645			0.004251241683959961
temperature	S2S	0				20.655912793549497	4.54487764340796	0.0012464523315429688
traffic	ESSSS	0				0.33060958686471553	0.5749865971174594	0.0012242794036865234
