dataset	signature	seed	product_rf_f1-micro	single_manifold_rf_f1-micro	sklearn_rf_f1-micro	tangent_rf_f1-micro	product_rf_f1-macro	single_manifold_rf_f1-macro	sklearn_rf_f1-macro	tangent_rf_f1-macro	product_rf_accuracy	single_manifold_rf_accuracy	sklearn_rf_accuracy	tangent_rf_accuracy	product_rf_time	single_manifold_rf_time	sklearn_rf_time	tangent_rf_time
gaussian	H1024	21	0.985	0.94	0.98	0.98	0.7447874493927126	0.8262699106449106	0.7413337742504409	0.7400263401377845	0.985	0.94	0.98	0.98	0.26410579681396484	1.3910245895385742	0.04335474967956543	0.04475235939025879
gaussian	H1024	22	0.92	0.945	0.95	0.955	0.7063202447005263	0.8024292967357765	0.7738304093567252	0.7975167308618598	0.92	0.945	0.95	0.955	0.26217055320739746	1.4092903137207031	0.04448890686035156	0.04432177543640137
gaussian	H1024	23	0.975	0.94	0.965	0.97	0.8645017967693731	0.9154824305710143	0.8485858585858586	0.856804084534667	0.975	0.94	0.965	0.97	0.26248955726623535	1.6220710277557373	0.04388236999511719	0.04397845268249512
gaussian	H1024	24	0.94	0.96	0.965	0.945	0.8092776915676188	0.9434934159907585	0.8463342942724795	0.819949844267626	0.94	0.96	0.965	0.945	0.26166629791259766	1.499664306640625	0.04333949089050293	0.04358553886413574
gaussian	H1024	25	0.95	0.955	0.97	0.905	0.8094979736020806	0.8826487841513417	0.8533014657999396	0.7318166280574648	0.95	0.955	0.97	0.905	0.2637600898742676	1.504349946975708	0.04350137710571289	0.04705238342285156
gaussian	H1024	26	0.98	0.94	0.95	0.955	0.8520867139959432	0.8826095336526083	0.7493126993620414	0.7548582995951416	0.98	0.94	0.95	0.955	0.30008697509765625	1.5843825340270996	0.11052584648132324	0.04300379753112793
gaussian	H1024	27	0.95	0.965	0.96	0.935	0.8872565383759413	0.9183919979665055	0.8381577236676341	0.8764286584139526	0.95	0.965	0.96	0.935	0.2661304473876953	1.4134864807128906	0.0425257682800293	0.04259657859802246
gaussian	H1024	28	0.99	0.94	0.99	0.975	0.8707184325108853	0.8893102493443282	0.8708321756043346	0.856436311978522	0.99	0.94	0.99	0.975	0.26111626625061035	1.61472749710083	0.0440216064453125	0.0434873104095459
gaussian	H1024	29	0.905	0.965	0.935	0.905	0.80067268101441	0.9436526251226502	0.8104705016524314	0.8204754579457979	0.905	0.965	0.935	0.905	0.2601914405822754	1.516819953918457	0.04472994804382324	0.045253753662109375
gaussian	H1024	30	0.935	0.945	0.96	0.945	0.8852073954125355	0.9416223248392148	0.9252092674033143	0.8824054231908975	0.935	0.945	0.96	0.945	0.26635003089904785	1.7311160564422607	0.04326343536376953	0.04448580741882324
gaussian	S1024	31	0.655	0.59	0.62	0.63	0.6069151642905197	0.5528440993085593	0.5188388111182454	0.5657244876799927	0.655	0.59	0.62	0.63	0.2492976188659668	2.8533177375793457	0.04415535926818848	0.04453635215759277
gaussian	S1024	32	0.68	0.435	0.575	0.63	0.5681453225140959	0.3465439152453581	0.40128735184914965	0.5046344215517148	0.68	0.435	0.575	0.63	0.2522618770599365	2.5637242794036865	0.04299783706665039	0.04511380195617676
gaussian	S1024	33	0.74	0.545	0.645	0.65	0.5594714185468388	0.4918452686124437	0.43136509752642477	0.43173969144198704	0.74	0.545	0.645	0.65	0.24990200996398926	2.6453452110290527	0.045603275299072266	0.044608354568481445
gaussian	S1024	34	0.75	0.57	0.645	0.625	0.46608032650715575	0.3939501956937725	0.3577609073932604	0.34660226313230813	0.75	0.57	0.645	0.625	0.24891018867492676	2.2966408729553223	0.04494953155517578	0.044355154037475586
gaussian	S1024	35	0.74	0.72	0.67	0.64	0.5111096187778909	0.5116061037302333	0.3768267752549834	0.3323608028950684	0.74	0.72	0.67	0.64	0.24948358535766602	2.3716630935668945	0.03712964057922363	0.043084144592285156
gaussian	S1024	36	0.74	0.585	0.68	0.685	0.5605996583291191	0.585853976465317	0.46603902305770284	0.49598825797924806	0.74	0.585	0.68	0.685	0.2501528263092041	2.57981014251709	0.044287681579589844	0.04497265815734863
gaussian	S1024	37	0.68	0.505	0.64	0.675	0.5410628703181325	0.5027645617999458	0.4762677023680545	0.5162832472955964	0.68	0.505	0.64	0.675	0.24950551986694336	2.5211904048919678	0.04281258583068848	0.0437159538269043
gaussian	S1024	38	0.69	0.595	0.645	0.62	0.6151594465815702	0.5502268056867102	0.5720007336051058	0.49897394097356795	0.69	0.595	0.645	0.62	0.25224757194519043	2.6977055072784424	0.04416394233703613	0.04353761672973633
gaussian	S1024	39	0.76	0.44	0.7	0.67	0.551420993179083	0.4416006792365488	0.44644819949698	0.41813765569341843	0.76	0.44	0.7	0.67	0.24936413764953613	2.4427707195281982	0.1725783348083496	0.04491710662841797
gaussian	S1024	40	0.655	0.66	0.575	0.625	0.4937552849771951	0.6048913571957658	0.43013623635834564	0.4590491945245467	0.655	0.66	0.575	0.625	0.24908161163330078	2.522826910018921	0.0451664924621582	0.04498648643493652
gaussian	S1024	41	0.675	0.69	0.64	0.595	0.4961234889953886	0.541225387751757	0.40512134874970934	0.3158055969531379	0.675	0.69	0.64	0.595	0.24956941604614258	2.633742094039917	0.043816566467285156	0.04418230056762695
gaussian	S1024	42	0.665	0.52	0.595	0.565	0.5876888120839734	0.5148404699006562	0.4802778490698953	0.43713522303671803	0.665	0.52	0.595	0.565	0.24902963638305664	2.609201431274414	0.04352545738220215	0.04538154602050781
gaussian	S1024	43	0.64	0.69	0.67	0.645	0.3391904239766082	0.574005107211156	0.4733471771092901	0.3552838297790512	0.64	0.69	0.67	0.645	0.24869966506958008	2.5383803844451904	0.04311084747314453	0.04269909858703613
gaussian	S1024	44	0.63	0.52	0.59	0.6	0.4486917718199136	0.49985066634713604	0.44118870327956794	0.418667384148364	0.63	0.52	0.59	0.6	0.24888372421264648	2.727966785430908	0.04338717460632324	0.044237613677978516
gaussian	S1024	45	0.74	0.71	0.685	0.7	0.47703519306780173	0.5954625816902938	0.44117158954620256	0.44517947330447327	0.74	0.71	0.685	0.7	0.2538132667541504	2.622746229171753	0.04393124580383301	0.031246185302734375
gaussian	S1024	46	0.69	0.65	0.65	0.67	0.4529157741656966	0.5716616502880945	0.43957204977282516	0.4475467479809787	0.69	0.65	0.65	0.67	0.2528572082519531	2.587113618850708	0.04339027404785156	0.04602193832397461
gaussian	S1024	47	0.7	0.665	0.65	0.665	0.4835258952065675	0.5533441498115411	0.443897612279683	0.44807749144268505	0.7	0.665	0.65	0.665	0.250197172164917	2.6482093334198	0.04302096366882324	0.044026851654052734
