dataset	signature	seed	ambient_gcn_f1-micro	ambient_mlp_f1-micro	ambient_mlr_f1-micro	kappa_gcn_f1-micro	kappa_mlp_f1-micro	kappa_mlr_f1-micro	knn_f1-micro	product_dt_f1-micro	product_rf_f1-micro	ps_perceptron_f1-micro	single_manifold_rf_f1-micro	sklearn_dt_f1-micro	sklearn_rf_f1-micro	tangent_dt_f1-micro	tangent_gcn_f1-micro	tangent_mlp_f1-micro	tangent_mlr_f1-micro	tangent_rf_f1-micro	ambient_gcn_f1-macro	ambient_mlp_f1-macro	ambient_mlr_f1-macro	kappa_gcn_f1-macro	kappa_mlp_f1-macro	kappa_mlr_f1-macro	knn_f1-macro	product_dt_f1-macro	product_rf_f1-macro	ps_perceptron_f1-macro	single_manifold_rf_f1-macro	sklearn_dt_f1-macro	sklearn_rf_f1-macro	tangent_dt_f1-macro	tangent_gcn_f1-macro	tangent_mlp_f1-macro	tangent_mlr_f1-macro	tangent_rf_f1-macro	ambient_gcn_accuracy	ambient_mlp_accuracy	ambient_mlr_accuracy	kappa_gcn_accuracy	kappa_mlp_accuracy	kappa_mlr_accuracy	knn_accuracy	product_dt_accuracy	product_rf_accuracy	ps_perceptron_accuracy	single_manifold_rf_accuracy	sklearn_dt_accuracy	sklearn_rf_accuracy	tangent_dt_accuracy	tangent_gcn_accuracy	tangent_mlp_accuracy	tangent_mlr_accuracy	tangent_rf_accuracy	ambient_gcn_time	ambient_mlp_time	ambient_mlr_time	kappa_gcn_time	kappa_mlp_time	kappa_mlr_time	knn_time	product_dt_time	product_rf_time	ps_perceptron_time	single_manifold_rf_time	sklearn_dt_time	sklearn_rf_time	tangent_dt_time	tangent_gcn_time	tangent_mlp_time	tangent_mlr_time	tangent_rf_time
product_gaussian	E	0	0.315	0.33	0.3	0.31	0.315	0.315	0.355	0.32	0.41	0.095	0.285	0.35	0.355	0.35	0.315	0.315	0.315	0.355	0.19496853660175845	0.238142678822192	0.20696704520989187	0.19338225983721555	0.22966725657521803	0.2206977717970841	0.3009375265257618	0.21217397798280152	0.2917114616938267	0.062201945141549746	0.27761420068303483	0.250114427839013	0.21387744023758132	0.250114427839013	0.19593050627533387	0.21932862482899962	0.22099549697534018	0.21387744023758132	0.315	0.33	0.3	0.31	0.315	0.315	0.355	0.32	0.41	0.095	0.285	0.35	0.355	0.35	0.315	0.315	0.315	0.355	54.120535373687744	41.80597972869873	19.09895944595337	36.994354009628296	42.17194652557373	18.886981964111328	0.003822803497314453	0.0820162296295166	0.9589200019836426	0.046544551849365234	15.298895359039307	0.001992464065551758	0.03388166427612305	0.0018849372863769531	53.398632764816284	42.08954477310181	19.103639125823975	0.032644033432006836
product_gaussian	E	1	0.3	0.32	0.325	0.3	0.32	0.315	0.385	0.305	0.4	0.17	0.315	0.36	0.4	0.365	0.295	0.315	0.315	0.4	0.09354319052594914	0.2484099234099234	0.2541285820158103	0.09395412604939504	0.24958417613507602	0.2389896825579944	0.3496092389411355	0.24791666666666665	0.26684016540193634	0.1161722919981239	0.2727375840711802	0.2457494799886104	0.26515385539136516	0.25244139918052966	0.08621933621933622	0.2537850813402284	0.2453658657096791	0.26515385539136516	0.3	0.32	0.325	0.3	0.32	0.315	0.385	0.305	0.4	0.17	0.315	0.36	0.4	0.365	0.295	0.315	0.315	0.4	53.857704639434814	41.50173759460449	19.04542636871338	36.538869857788086	41.97110056877136	19.288957357406616	0.0029370784759521484	0.08992815017700195	0.9873626232147217	0.04518389701843262	13.662958860397339	0.001986980438232422	0.03209829330444336	0.0019044876098632812	53.06406855583191	41.66174817085266	18.92235565185547	0.032259225845336914
product_gaussian	E	2	0.23	0.285	0.27	0.225	0.27	0.275	0.305	0.335	0.3	0.145	0.255	0.33	0.35	0.33	0.23	0.28	0.285	0.35	0.1377955255475417	0.17700120959819238	0.17261977980756635	0.14133392146785004	0.16487310643320874	0.1609808623278451	0.2535725362404807	0.2591547275751639	0.18344633947043587	0.07100339060941915	0.22520136975886512	0.24633076342801158	0.23614510489510487	0.24633076342801158	0.14339120700727842	0.17638139761728702	0.17967201782820236	0.23614510489510487	0.23	0.285	0.27	0.225	0.27	0.275	0.305	0.335	0.3	0.145	0.255	0.33	0.35	0.33	0.23	0.28	0.285	0.35	53.893150329589844	42.01931428909302	18.84127402305603	38.09510254859924	42.26740837097168	19.214632272720337	0.004179239273071289	0.08761811256408691	0.9283242225646973	0.04956984519958496	15.011478424072266	0.00201416015625	0.03337979316711426	0.0019252300262451172	54.13034200668335	41.814719676971436	19.026512622833252	0.03331470489501953
product_gaussian	E	3	0.405	0.365	0.37	0.415	0.365	0.36	0.435	0.375	0.43	0.255	0.34	0.4	0.445	0.4	0.405	0.35	0.375	0.445	0.2130921669793621	0.22441960512830603	0.2298118016508821	0.22260200679686828	0.2246808831507358	0.21980257015086735	0.29765117615748754	0.22398924798792758	0.25827899148873723	0.17475356016532484	0.22837548967154042	0.23885922769895157	0.2660664846209277	0.23786140476716638	0.21328777496879275	0.2175850311658011	0.23182440228178652	0.2660664846209277	0.405	0.365	0.37	0.415	0.365	0.36	0.435	0.375	0.43	0.255	0.34	0.4	0.445	0.4	0.405	0.35	0.375	0.445	53.03935623168945	41.624183177948	17.53768801689148	36.74399471282959	41.83113145828247	19.084487676620483	0.004026651382446289	0.0868692398071289	0.9864044189453125	0.050012826919555664	13.18571662902832	0.002016305923461914	0.03226423263549805	0.00193023681640625	54.48712158203125	42.43176531791687	18.8285813331604	0.033676862716674805
product_gaussian	E	4	0.235	0.225	0.235	0.235	0.225	0.23	0.29	0.265	0.285	0.25	0.24	0.28	0.3	0.28	0.235	0.24	0.225	0.3	0.10493053458169738	0.12931591901006795	0.13390843245212175	0.10208532651204635	0.12741080935617644	0.13366896122017483	0.2068285756706748	0.16614108925512433	0.1696732615210876	0.14601733524772004	0.18201330829799198	0.17237915679092147	0.1577789304896863	0.17237915679092147	0.09635797631487286	0.13662397973543483	0.12967193166829577	0.1577789304896863	0.235	0.225	0.235	0.235	0.225	0.23	0.29	0.265	0.285	0.25	0.24	0.28	0.3	0.28	0.235	0.24	0.225	0.3	53.97451829910278	41.422266244888306	18.827234029769897	38.014216899871826	42.20303964614868	17.873225212097168	0.0044362545013427734	0.08120894432067871	0.953723669052124	0.045020341873168945	14.894153118133545	0.002061128616333008	0.03218817710876465	0.001943826675415039	54.76055717468262	42.28475832939148	19.085801362991333	0.0324254035949707
product_gaussian	E	5	0.245	0.255	0.265	0.25	0.26	0.26	0.35	0.27	0.305	0.21	0.28	0.255	0.275	0.26	0.255	0.25	0.265	0.275	0.16943187067890403	0.19134712603079584	0.19865962856679154	0.1690805360878409	0.193001807647022	0.19097848240385434	0.25385791010791015	0.18716019919494692	0.2214457147303286	0.16382362502386924	0.241411589533078	0.18452597144188848	0.19978298918113696	0.18649157340749045	0.1732437692021066	0.1782701979277419	0.1953801840334967	0.19978298918113696	0.245	0.255	0.265	0.25	0.26	0.26	0.35	0.27	0.305	0.21	0.28	0.255	0.275	0.26	0.255	0.25	0.265	0.275	54.72783589363098	42.44029211997986	18.756213188171387	36.709914207458496	41.90939784049988	19.01321840286255	0.004117727279663086	0.07973384857177734	0.9790582656860352	0.05541276931762695	14.23214054107666	0.002016305923461914	0.03234267234802246	0.0019309520721435547	53.58602857589722	41.98836636543274	18.844547271728516	0.0335385799407959
product_gaussian	E	6	0.185	0.19	0.195	0.17	0.205	0.21	0.28	0.29	0.32	0.12	0.21	0.275	0.31	0.275	0.17	0.22	0.2	0.31	0.1085883467225996	0.16534965034965035	0.17526023071897784	0.09825562169312169	0.17555138472732001	0.18622791889800877	0.2295864312302758	0.17734538784067086	0.2563178124847954	0.0675494391398851	0.14468337573629664	0.1363632624043457	0.19185938223870264	0.1363632624043457	0.09873598623598623	0.19443223730798836	0.17580668752543754	0.19185938223870264	0.185	0.19	0.195	0.17	0.205	0.21	0.28	0.29	0.32	0.12	0.21	0.275	0.31	0.275	0.17	0.22	0.2	0.31	54.20923972129822	42.08079385757446	19.242589712142944	36.89916157722473	42.09552717208862	18.772106885910034	0.0029053688049316406	0.07359099388122559	0.8635902404785156	0.057044029235839844	15.222182989120483	0.0020074844360351562	0.0324101448059082	0.001947164535522461	54.399760484695435	42.19533133506775	19.04310393333435	0.03313279151916504
product_gaussian	E	7	0.235	0.275	0.3	0.245	0.265	0.26	0.325	0.275	0.315	0.205	0.26	0.275	0.32	0.27	0.235	0.275	0.28	0.32	0.12243289840410954	0.18290425823287298	0.2109529142003946	0.13545643428805781	0.1833689511399984	0.16843895401234849	0.2620736255134659	0.1731225743734417	0.2505104233827638	0.14765410099572063	0.20211641639568664	0.20324356973585342	0.21258889386512297	0.17824356973585342	0.12091897950806732	0.19828273040482342	0.19028088753152692	0.21258889386512297	0.235	0.275	0.3	0.245	0.265	0.26	0.325	0.275	0.315	0.205	0.26	0.275	0.32	0.27	0.235	0.275	0.28	0.32	53.60523462295532	41.5947482585907	16.539289236068726	36.97885251045227	41.131829500198364	19.100582599639893	0.003940105438232422	0.07928752899169922	0.9181888103485107	0.04240846633911133	14.649518489837646	0.0020825862884521484	0.03333282470703125	0.0019273757934570312	53.3224458694458	41.53469514846802	19.031938076019287	0.03238558769226074
product_gaussian	E	8	0.235	0.25	0.26	0.235	0.245	0.24	0.315	0.29	0.33	0.2	0.255	0.315	0.32	0.31	0.24	0.265	0.26	0.32	0.15179571029498506	0.1905366701589654	0.20457984811798371	0.15529363511123656	0.19265610434965275	0.17551594612325577	0.22843334664393006	0.2180297176464493	0.23521727144310406	0.16015569679362782	0.20137661529255674	0.2475555146607778	0.24298725686897193	0.245382697560556	0.16281910787778783	0.20849355715213044	0.20174129808785268	0.24298725686897193	0.235	0.25	0.26	0.235	0.245	0.24	0.315	0.29	0.33	0.2	0.255	0.315	0.32	0.31	0.24	0.265	0.26	0.32	53.789719581604004	41.59141683578491	18.81916570663452	37.111440896987915	41.94124722480774	18.55515456199646	0.004302978515625	0.08287644386291504	1.0050780773162842	0.04902982711791992	14.44982647895813	0.002039670944213867	0.03355884552001953	0.0019390583038330078	54.13847613334656	42.04816675186157	18.46173930168152	0.03415393829345703
product_gaussian	E	9	0.265	0.3	0.295	0.265	0.3	0.305	0.375	0.36	0.345	0.285	0.25	0.32	0.345	0.315	0.275	0.305	0.305	0.345	0.16327357505845141	0.21589655053940768	0.19959872643696175	0.17152832751575137	0.2154925899063626	0.2195542810546634	0.34416572497699344	0.2989747070763249	0.24866785730513882	0.18590870478746396	0.22352503728381948	0.24660765661248518	0.24767507711586662	0.23969466160348502	0.18004991271215698	0.2196230202095067	0.2199901405783759	0.24767507711586662	0.265	0.3	0.295	0.265	0.3	0.305	0.375	0.36	0.345	0.285	0.25	0.32	0.345	0.315	0.275	0.305	0.305	0.345	54.22582960128784	41.49991512298584	18.80652403831482	37.18865513801575	39.53754639625549	19.103193759918213	0.002685546875	0.09026432037353516	0.9893598556518555	0.041233062744140625	14.308924913406372	0.0020592212677001953	0.032217979431152344	0.0019237995147705078	54.58811330795288	42.23306202888489	18.640336513519287	0.033861398696899414
