dataset	signature	seed	ambient_gcn_mse	ambient_mlp_mse	ambient_mlr_mse	kappa_gcn_mse	kappa_mlp_mse	kappa_mlr_mse	knn_mse	product_dt_mse	product_rf_mse	single_manifold_rf_mse	sklearn_dt_mse	sklearn_rf_mse	tangent_dt_mse	tangent_gcn_mse	tangent_mlp_mse	tangent_mlr_mse	tangent_rf_mse	ambient_gcn_rmse	ambient_mlp_rmse	ambient_mlr_rmse	kappa_gcn_rmse	kappa_mlp_rmse	kappa_mlr_rmse	knn_rmse	product_dt_rmse	product_rf_rmse	single_manifold_rf_rmse	sklearn_dt_rmse	sklearn_rf_rmse	tangent_dt_rmse	tangent_gcn_rmse	tangent_mlp_rmse	tangent_mlr_rmse	tangent_rf_rmse	ambient_gcn_time	ambient_mlp_time	ambient_mlr_time	kappa_gcn_time	kappa_mlp_time	kappa_mlr_time	knn_time	product_dt_time	product_rf_time	single_manifold_rf_time	sklearn_dt_time	sklearn_rf_time	tangent_dt_time	tangent_gcn_time	tangent_mlp_time	tangent_mlr_time	tangent_rf_time
product_gaussian	HH	1000000	0.0803759	0.78438413	0.7772031	0.16336913406848907	0.22902338206768036	0.2068316638469696	0.015385518	0.0204456	0.015457318	0.028840536	0.02214837507360218	0.01678799293357068	0.01690966288566426	0.1777877	0.018265331	0.018267393	0.01547195862800843	0.28350645	0.8856546	0.8815912	0.40418946743011475	0.4785638749599457	0.4547874927520752	0.124038376	0.14298812	0.124327466	0.16982502	0.14882330151425274	0.12956848742487767	0.13003715963394563	0.4216488	0.13514929	0.13515691	0.12438632813942387	53.621418476104736	41.855475187301636	18.229037284851074	88.92535424232483	99.63667488098145	46.98507308959961	0.39027905464172363	0.17492294311523438	0.958223819732666	28.512784004211426	0.0026721954345703125	0.033219099044799805	0.00159454345703125	52.112709522247314	41.288095474243164	18.324389696121216	0.1757819652557373
product_gaussian	HH	1000001	0.31100595	0.3326396	0.3327468	0.245976984500885	0.25964686274528503	0.26992183923721313	0.017883318	0.0222021	0.018782102	0.02793549	0.03009368516796325	0.021276425574793752	0.0247106646239198	0.25012454	0.027394999	0.02744539	0.020155917930868197	0.55767906	0.57674915	0.57684207	0.49596068263053894	0.5095555782318115	0.519540011882782	0.13372852	0.1490037	0.13704781	0.16713913	0.17347531573098016	0.14586440818374355	0.1571962614820079	0.5001245	0.16551435	0.1656665	0.14197153915791783	54.198912143707275	41.82264757156372	18.21247673034668	91.19185066223145	99.21315836906433	47.261908769607544	0.005205869674682617	0.0952608585357666	1.076362133026123	28.819073915481567	0.00220489501953125	0.03168964385986328	0.0015344619750976562	53.43293738365173	41.91364097595215	18.413472414016724	0.03444170951843262
product_gaussian	HH	1000002	0.25236437	0.81724787	1.1075402	0.2876342833042145	0.35119378566741943	0.3252961039543152	0.01813203	0.020917282	0.016600082	0.031157078	0.02316352265334425	0.0222095070173957	0.02325170721918303	0.29371116	0.029995363	0.02994483	0.01958703010086848	0.5023588	0.9040176	1.0523974	0.5363154411315918	0.592616081237793	0.5703473687171936	0.13465522	0.14462808	0.12884131	0.17651367	0.15219567225563363	0.1490285443040886	0.1524851049092436	0.54195124	0.1731917	0.17304574	0.13995367126613178	54.56768727302551	41.83731532096863	18.505914449691772	91.66762590408325	99.0943558216095	47.970632553100586	0.0038232803344726562	0.08678174018859863	1.022139549255371	29.01015853881836	0.0022516250610351562	0.032320261001586914	0.0016050338745117188	54.01474142074585	42.13759112358093	18.28437042236328	0.03434109687805176
product_gaussian	HH	1000003	0.16468094	0.1946136	0.2009111	0.13720056414604187	0.1853214055299759	0.17980533838272095	0.02251905	0.027719595	0.021651363	0.035962995	0.029776882497964636	0.023279988322996704	0.0253837418680233	0.14331138	0.025235571	0.025231086	0.022114293740614178	0.405809	0.4411503	0.44823107	0.3704059422016144	0.430489718914032	0.42403459548950195	0.15006348	0.16649203	0.14714402	0.18963912	0.17255979397868043	0.1525778107163578	0.15932276004395385	0.3785649	0.15885708	0.15884297	0.14870875475443326	53.946414947509766	42.07405424118042	18.474202632904053	90.30592274665833	99.90201759338379	47.45130968093872	0.003660440444946289	0.09121322631835938	0.9941470623016357	28.833374500274658	0.0022482872009277344	0.03246641159057617	0.0016036033630371094	54.099271059036255	41.486422300338745	18.69489860534668	0.03266787528991699
product_gaussian	HH	1000004	0.087249205	13.500669	0.2683353	0.22261904180049896	0.20797500014305115	0.19797930121421814	0.023915607	0.026917543	0.022601247	0.039785866	0.038495166196564255	0.028736157722032106	0.03175477955587015	0.16935702	0.03905206	0.0390597	0.027946193132775035	0.29537976	3.6743257	0.5180109	0.4718252122402191	0.4560427665710449	0.44494864344596863	0.15464672	0.16406567	0.15033711	0.19946395	0.19620185064510542	0.16951742601287959	0.1781987080645372	0.41153008	0.19761595	0.19763526	0.16717114922370738	54.4599826335907	42.217795610427856	18.727344751358032	89.99002003669739	99.56717276573181	47.60828518867493	0.003790616989135742	0.0943455696105957	1.0169689655303955	28.738858938217163	0.0022394657135009766	0.03279995918273926	0.001577138900756836	54.41535258293152	41.98404669761658	18.88796329498291	0.0316619873046875
product_gaussian	HH	1000005	0.07636108	0.13880213	0.13880111	0.09116121381521225	0.10783429443836212	0.1128370389342308	0.016428247	0.01847576	0.015398311	0.024839351	0.024630562353022755	0.020118074694764378	0.021352642284790793	0.09267328	0.020147434	0.020147448	0.017346527145597656	0.2763351	0.37256157	0.3725602	0.30192914605140686	0.32838132977485657	0.3359122574329376	0.12817273	0.13592556	0.124089934	0.15760505	0.15694127039444644	0.1418381989971826	0.14612543339470646	0.30442286	0.14194165	0.14194171	0.13170621528841248	54.04965162277222	42.54356122016907	18.758399724960327	91.13270044326782	99.19366431236267	47.576011180877686	0.003867626190185547	0.09388422966003418	1.0399737358093262	28.470747470855713	0.0022220611572265625	0.03319191932678223	0.001554727554321289	54.41646862030029	41.88851881027222	18.734813690185547	0.03196907043457031
product_gaussian	HH	1000006	0.08639496	0.29153174	0.29190913	0.1740845888853073	0.19900326430797577	0.1794576644897461	0.034213405	0.04065396	0.035763856	0.058147445	0.04677439488147507	0.0348944341251506	0.040878012761941335	0.16676189	0.043524817	0.04352794	0.034233631817051496	0.2939302	0.5399368	0.5402862	0.4172344505786896	0.44609782099723816	0.4236244261264801	0.18496867	0.20162827	0.18911335	0.24113782	0.21627388857990942	0.18680051960621147	0.20218311690628704	0.4083649	0.20862602	0.2086335	0.18502332776450514	53.66656422615051	42.54411315917969	18.506146669387817	91.32989382743835	98.0516767501831	47.213401079177856	0.003711700439453125	0.09913778305053711	1.0761408805847168	28.74018430709839	0.0023102760314941406	0.03221726417541504	0.0015692710876464844	54.91058588027954	41.94857215881348	18.732009887695312	0.03271627426147461
product_gaussian	HH	1000007	33.0959	4.0055504	4.006261	0.13571518659591675	0.1750304400920868	0.1744251251220703	0.01580421	0.020867296	0.021015039	0.031255096	0.03178608176119488	0.021694955771977078	0.023819215039173804	0.1116569	0.03015915	0.030159153	0.022012625978818444	5.752904	2.0013871	2.0015645	0.3683954179286957	0.418366402387619	0.41764235496520996	0.1257148	0.14445516	0.14496565	0.1767911	0.1782865159264572	0.14729207640595293	0.15433474994042595	0.334151	0.1736639	0.17366391	0.14836652580288603	54.210225105285645	42.580639123916626	18.929274082183838	91.78223657608032	98.45017862319946	47.66598868370056	0.003671884536743164	0.07619738578796387	1.0754847526550293	29.422533988952637	0.0022106170654296875	0.03210282325744629	0.0016167163848876953	54.759028673172	42.16102862358093	18.917908906936646	0.03352189064025879
product_gaussian	HH	1000008	0.20313549	0.20207019	0.2425916	0.14327241480350494	0.17901061475276947	0.17208033800125122	0.016960816	0.018438503	0.016927445	0.026347546	0.020181961568727428	0.018867682857322154	0.01959179448912816	0.15923908	0.020251455	0.020248506	0.017533936081009546	0.45070556	0.44952217	0.4925359	0.3785134255886078	0.4230964481830597	0.4148256778717041	0.1302337	0.13578846	0.13010551	0.16231927	0.14206323088233433	0.13735968425022735	0.13997069153622183	0.39904773	0.14230761	0.14229725	0.1324157697595326	53.782225131988525	42.22889471054077	18.787035942077637	91.8001160621643	97.49273347854614	46.894166707992554	0.003974437713623047	0.09021139144897461	0.9736478328704834	29.750985383987427	0.0022988319396972656	0.03166532516479492	0.0015916824340820312	53.89432096481323	42.47051405906677	18.400504112243652	0.03287482261657715
product_gaussian	HH	1000009	825.11633	59352.414	170.61647	0.1495194286108017	0.20320840179920197	0.18293964862823486	0.024856536	0.036345296	0.029324133	0.043983873	0.036485727022629345	0.02777906545934454	0.03573775632743287	0.16063038	0.0326323	0.032606363	0.028077101238873473	28.724838	243.6235	13.062024	0.38667741417884827	0.45078641176223755	0.42771443724632263	0.15765956	0.19064443	0.17124291	0.20972332	0.1910123740039617	0.16667052966659865	0.18904432371122087	0.4007872	0.18064412	0.18057232	0.16756223094383016	52.75787925720215	42.114864349365234	18.537946939468384	92.53310441970825	98.35172915458679	46.91807746887207	0.003620624542236328	0.08882737159729004	1.0070898532867432	29.711950302124023	0.0022368431091308594	0.03287100791931152	0.0016021728515625	54.082167625427246	42.38786196708679	18.546141624450684	0.031955718994140625
