dataset	signature	seed	sklearn_dt_f1-micro	sklearn_dt_f1-macro	sklearn_dt_accuracy	sklearn_dt_time
blood_cell_scrna	SEHHH	0	0.144	0.11967848314553171	0.144	0.005987644195556641
lymphoma	SS	0	0.864	0.782558645212453	0.864	0.0026655197143554688
cifar_100	HHHH	0	0.076	0.0460486520434857	0.076	0.006257295608520508
mnist	SEH	0	0.327	0.2998264172380242	0.327	0.004073381423950195
