sklearn_dt_accuracy	sklearn_dt_f1-micro	sklearn_dt_time	sklearn_rf_accuracy	sklearn_rf_f1-micro	sklearn_rf_time	product_dt_accuracy	product_dt_f1-micro	product_dt_time	product_rf_accuracy	product_rf_f1-micro	product_rf_time	tangent_dt_accuracy	tangent_dt_f1-micro	tangent_dt_time	tangent_rf_accuracy	tangent_rf_f1-micro	tangent_rf_time	knn_accuracy	knn_f1-micro	knn_time	ps_perceptron_accuracy	ps_perceptron_f1-micro	ps_perceptron_time	ambient_mlp_accuracy	ambient_mlp_f1-micro	ambient_mlp_time	ambient_gnn_accuracy	ambient_gnn_f1-micro	ambient_gnn_time	kappa_gcn_accuracy	kappa_gcn_f1-micro	kappa_gcn_time	product_mlr_accuracy	product_mlr_f1-micro	product_mlr_time	embedding	signature	trial	task	benchmark_type
0.9346938775510204	0.9346938775510204	0.0031893253326416016	0.9469387755102041	0.9469387755102041	0.03390908241271973	0.9102040816326531	0.9102040816326531	0.08501529693603516	0.9387755102040817	0.9387755102040817	0.8921089172363281	0.9224489795918367	0.9224489795918367	0.002171039581298828	0.9387755102040817	0.9387755102040817	0.0323486328125	0.9469387755102041	0.9469387755102041	0.20972037315368652	0.5020408163265306	0.5020408163265306	0.021347761154174805	0.8857142857142857	0.8857142857142857	44.883341550827026	0.8734693877551021	0.8734693877551021	59.07045602798462	0.8653061224489796	0.8653061224489796	93.19577097892761	0.7387755102040816	0.7387755102040816	43.29462814331055	polblogs	HE	0	classification	graph_embedding
0.8938775510204081	0.8938775510204081	0.0027964115142822266	0.9142857142857143	0.9142857142857143	0.03334665298461914	0.8816326530612245	0.8816326530612245	0.12310528755187988	0.9020408163265307	0.9020408163265307	1.3193578720092773	0.8857142857142857	0.8857142857142857	0.0021572113037109375	0.9061224489795918	0.9061224489795918	0.03553962707519531	0.9224489795918367	0.9224489795918367	0.11119794845581055	0.49795918367346936	0.49795918367346936	0.017200231552124023	0.9142857142857143	0.9142857142857143	43.69327449798584	0.9142857142857143	0.9142857142857143	58.386778116226196	0.8938775510204081	0.8938775510204081	91.86147737503052	0.8204081632653061	0.8204081632653061	43.41375112533569	polblogs	HE	1	classification	graph_embedding
0.8979591836734694	0.8979591836734694	0.002736330032348633	0.926530612244898	0.926530612244898	0.032128334045410156	0.9224489795918367	0.9224489795918367	0.11461758613586426	0.9224489795918367	0.9224489795918367	1.2759809494018555	0.9102040816326531	0.9102040816326531	0.002131938934326172	0.9224489795918367	0.9224489795918367	0.04303264617919922	0.9306122448979591	0.9306122448979591	0.004886627197265625	0.6040816326530613	0.6040816326530613	0.016254663467407227	0.9306122448979591	0.9306122448979591	43.366483211517334	0.9183673469387755	0.9183673469387755	58.49333953857422	0.7551020408163265	0.7551020408163265	92.78413224220276	0.7918367346938775	0.7918367346938775	43.2302463054657	polblogs	HE	2	classification	graph_embedding
0.9306122448979591	0.9306122448979591	0.0026133060455322266	0.9428571428571428	0.9428571428571428	0.0326695442199707	0.9346938775510204	0.9346938775510204	0.09251070022583008	0.9387755102040817	0.9387755102040817	1.2866811752319336	0.9306122448979591	0.9306122448979591	0.002139568328857422	0.9510204081632653	0.9510204081632653	0.03127408027648926	0.9428571428571428	0.9428571428571428	0.004264354705810547	0.5510204081632653	0.5510204081632653	0.017374515533447266	0.9469387755102041	0.9469387755102041	43.341153144836426	0.9387755102040817	0.9387755102040817	58.809595346450806	0.9428571428571428	0.9428571428571428	92.93084669113159	0.9469387755102041	0.9469387755102041	43.25987148284912	polblogs	HE	3	classification	graph_embedding
0.9346938775510204	0.9346938775510204	0.002699136734008789	0.9469387755102041	0.9469387755102041	0.03328585624694824	0.926530612244898	0.926530612244898	0.11641311645507812	0.9224489795918367	0.9224489795918367	1.2191638946533203	0.9387755102040817	0.9387755102040817	0.0021514892578125	0.9387755102040817	0.9387755102040817	0.03389692306518555	0.9346938775510204	0.9346938775510204	0.004021883010864258	0.5224489795918368	0.5224489795918368	0.016671419143676758	0.9224489795918367	0.9224489795918367	43.19513940811157	0.9183673469387755	0.9183673469387755	58.34851622581482	0.8857142857142857	0.8857142857142857	91.50844120979309	0.9183673469387755	0.9183673469387755	40.35667395591736	polblogs	HE	4	classification	graph_embedding
0.9061224489795918	0.9061224489795918	0.0026078224182128906	0.926530612244898	0.926530612244898	0.03313565254211426	0.9102040816326531	0.9102040816326531	0.10921573638916016	0.9183673469387755	0.9183673469387755	1.262573480606079	0.9102040816326531	0.9102040816326531	0.002124309539794922	0.9183673469387755	0.9183673469387755	0.033156633377075195	0.9183673469387755	0.9183673469387755	0.003950595855712891	0.746938775510204	0.746938775510204	0.016420841217041016	0.9142857142857143	0.9142857142857143	43.365381479263306	0.9020408163265307	0.9020408163265307	58.68812847137451	0.9020408163265307	0.9020408163265307	92.08350372314453	0.7795918367346939	0.7795918367346939	43.021775245666504	polblogs	HE	5	classification	graph_embedding
0.9428571428571428	0.9428571428571428	0.0026769638061523438	0.9469387755102041	0.9469387755102041	0.03368878364562988	0.9387755102040817	0.9387755102040817	0.12264895439147949	0.9469387755102041	0.9469387755102041	1.3318603038787842	0.9387755102040817	0.9387755102040817	0.0021538734436035156	0.9346938775510204	0.9346938775510204	0.032462120056152344	0.9469387755102041	0.9469387755102041	0.004063129425048828	0.8081632653061225	0.8081632653061225	0.016829252243041992	0.9510204081632653	0.9510204081632653	43.65811586380005	0.9346938775510204	0.9346938775510204	56.58257865905762	0.8163265306122449	0.8163265306122449	92.85252404212952	0.6938775510204082	0.6938775510204082	43.85844683647156	polblogs	HE	6	classification	graph_embedding
0.9183673469387755	0.9183673469387755	0.002582073211669922	0.9346938775510204	0.9346938775510204	0.03236961364746094	0.9346938775510204	0.9346938775510204	0.11006355285644531	0.9591836734693877	0.9591836734693877	1.2611534595489502	0.9346938775510204	0.9346938775510204	0.0021212100982666016	0.9469387755102041	0.9469387755102041	0.03338503837585449	0.9346938775510204	0.9346938775510204	0.004115104675292969	0.5020408163265306	0.5020408163265306	0.017450571060180664	0.9428571428571428	0.9428571428571428	43.0857470035553	0.9469387755102041	0.9469387755102041	58.16425800323486	0.5306122448979592	0.5306122448979592	90.45627045631409	0.6244897959183674	0.6244897959183674	42.30380344390869	polblogs	HE	7	classification	graph_embedding
0.9469387755102041	0.9469387755102041	0.0026557445526123047	0.9346938775510204	0.9346938775510204	0.0316774845123291	0.9510204081632653	0.9510204081632653	0.11005711555480957	0.926530612244898	0.926530612244898	1.2886741161346436	0.9428571428571428	0.9428571428571428	0.0021467208862304688	0.9510204081632653	0.9510204081632653	0.03217148780822754	0.9510204081632653	0.9510204081632653	0.004306793212890625	0.4816326530612245	0.4816326530612245	0.016637563705444336	0.9020408163265307	0.9020408163265307	43.152060747146606	0.9346938775510204	0.9346938775510204	57.03603434562683	0.9387755102040817	0.9387755102040817	92.8507890701294	0.9020408163265307	0.9020408163265307	43.68928027153015	polblogs	HE	8	classification	graph_embedding
0.9510204081632653	0.9510204081632653	0.002701997756958008	0.9346938775510204	0.9346938775510204	0.03502821922302246	0.9346938775510204	0.9346938775510204	0.12617874145507812	0.9346938775510204	0.9346938775510204	1.2621068954467773	0.9306122448979591	0.9306122448979591	0.0021364688873291016	0.9183673469387755	0.9183673469387755	0.032244205474853516	0.9428571428571428	0.9428571428571428	0.004160404205322266	0.5265306122448979	0.5265306122448979	0.01685643196105957	0.9346938775510204	0.9346938775510204	43.683550119400024	0.9387755102040817	0.9387755102040817	57.94214153289795	0.889795918367347	0.889795918367347	91.60766983032227	0.8040816326530612	0.8040816326530612	43.13960862159729	polblogs	HE	9	classification	graph_embedding
