sklearn_dt_f1-micro	 sklearn_dt_accuracy	 sklearn_dt_time   	 sklearn_rf_f1-micro	 sklearn_rf_accuracy	 sklearn_rf_time   	 product_dt_f1-micro	 product_dt_accuracy	 product_dt_time   	 product_rf_f1-micro	 product_rf_accuracy	 product_rf_time   	 tangent_dt_f1-micro	 tangent_dt_accuracy	 tangent_dt_time   	 tangent_rf_f1-micro	 tangent_rf_accuracy	 tangent_rf_time   	 knn_f1-micro      	 knn_accuracy      	 knn_time          	 ps_perceptron_f1-micro	 ps_perceptron_accuracy	 ps_perceptron_time	 ambient_mlp_f1-micro	 ambient_mlp_accuracy	 ambient_mlp_time  	 ambient_gnn_f1-micro	 ambient_gnn_accuracy	 ambient_gnn_time  	 kappa_gcn_f1-micro	 kappa_gcn_accuracy	 kappa_gcn_time     	 product_mlr_f1-micro	 product_mlr_accuracy	 product_mlr_time   	 task	 signature            	 dataset  	 table                 	 sklearn_dt_rmse    	 sklearn_rf_rmse    	 product_dt_rmse   	 product_rf_rmse   	 tangent_dt_rmse    	 tangent_rf_rmse    	 knn_rmse          	 ambient_mlp_rmse  	 ambient_gnn_rmse  	 kappa_gcn_rmse       	 product_mlr_rmse
 0.335             	  0.335             	 0.0019292831420898	  0.35              	  0.35              	 0.0324091911315918	  0.345             	  0.345             	 0.0343110561370849	  0.37              	  0.37              	 0.4093208312988281	  0.405             	  0.405             	 0.0012292861938476	  0.38              	  0.38              	 0.0330269336700439	 0.365             	 0.365             	 0.0036828517913818	     0.185             	     0.185             	 0.0107676982879638	   0.31              	   0.31              	 32.08802580833435 	   0.245             	   0.245             	 40.74472141265869 	 0.315             	 0.315             	  38.76256394386292 	   0.245             	   0.245             	  23.15174674987793 	 C   	 $\S{2,-2.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.27              	  0.27              	 0.00166916847229  	  0.265             	  0.265             	 0.0339713096618652	  0.335             	  0.335             	 0.0388598442077636	  0.35              	  0.35              	 0.4288854598999023	  0.27              	  0.27              	 0.0012669563293457	  0.31              	  0.31              	 0.0330476760864257	 0.3               	 0.3               	 0.0027308464050292	     0.165             	     0.165             	 0.0107917785644531	   0.23              	   0.23              	 32.46807026863098 	   0.13              	   0.13              	 41.05263614654541 	 0.205             	 0.205             	  39.05672693252564 	   0.225             	   0.225             	  22.480578184127808	 C   	 $\S{2,-2.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.27              	  0.27              	 0.001960277557373 	  0.325             	  0.325             	 0.0340955257415771	  0.295             	  0.295             	 0.036837100982666 	  0.325             	  0.325             	 0.4189043045043945	  0.305             	  0.305             	 0.0012359619140625	  0.33              	  0.33              	 0.0358202457427978	 0.32              	 0.32              	 0.0026371479034423	     0.135             	     0.135             	 0.0106692314147949	   0.265             	   0.265             	 32.56288194656372 	   0.115             	   0.115             	 40.71457052230835 	 0.19              	 0.19              	  38.65605807304382 	   0.21              	   0.21              	  24.110960721969604	 C   	 $\S{2,-2.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.3               	  0.3               	 0.001971960067749 	  0.305             	  0.305             	 0.0352499485015869	  0.31              	  0.31              	 0.0364942550659179	  0.33              	  0.33              	 0.4241578578948974	  0.3               	  0.3               	 0.0012488365173339	  0.325             	  0.325             	 0.033437967300415 	 0.285             	 0.285             	 0.0027840137481689	     0.14              	     0.14              	 0.0107018947601318	   0.19              	   0.19              	 31.799943208694454	   0.18              	   0.18              	 41.24741888046265 	 0.18              	 0.18              	  39.605292320251465	   0.225             	   0.225             	  24.783273935317997	 C   	 $\S{2,-2.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.3               	  0.3               	 0.0016920566558837	  0.36              	  0.36              	 0.0338513851165771	  0.34              	  0.34              	 0.0398972034454345	  0.335             	  0.335             	 0.4120910167694092	  0.39              	  0.39              	 0.0012931823730468	  0.34              	  0.34              	 0.0359611511230468	 0.375             	 0.375             	 0.003953218460083 	     0.16              	     0.16              	 0.0111808776855468	   0.285             	   0.285             	 32.24832224845886 	   0.175             	   0.175             	 40.736063718795776	 0.2               	 0.2               	  37.77882266044617 	   0.26              	   0.26              	  24.775618076324463	 C   	 $\S{2,-2.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.31              	  0.31              	 0.0017592906951904	  0.295             	  0.295             	 0.0341544151306152	  0.34              	  0.34              	 0.040851354598999 	  0.385             	  0.385             	 0.4458143711090088	  0.34              	  0.34              	 0.0013289451599121	  0.34              	  0.34              	 0.0341606140136718	 0.395             	 0.395             	 0.0026493072509765	     0.155             	     0.155             	 0.0114984512329101	   0.21              	   0.21              	 32.667515993118286	   0.165             	   0.165             	 40.6334240436554  	 0.195             	 0.195             	  39.078118085861206	   0.24              	   0.24              	  26.44998002052307 	 C   	 $\S{2,-2.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.4               	  0.4               	 0.0020892620086669	  0.365             	  0.365             	 0.0333125591278076	  0.42              	  0.42              	 0.0419244766235351	  0.425             	  0.425             	 0.4275579452514648	  0.44              	  0.44              	 0.0014095306396484	  0.5               	  0.5               	 0.0341062545776367	 0.405             	 0.405             	 0.0027482509613037	     0.175             	     0.175             	 0.0115706920623779	   0.32              	   0.32              	 32.20751929283142 	   0.285             	   0.285             	 40.28097653388977 	 0.29              	 0.29              	  39.14758348464966 	   0.335             	   0.335             	  24.04409170150757 	 C   	 $\S{2,-2.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.28              	  0.28              	 0.0018143653869628	  0.31              	  0.31              	 0.0351812839508056	  0.41              	  0.41              	 0.0378191471099853	  0.395             	  0.395             	 0.4360246658325195	  0.31              	  0.31              	 0.0015065670013427	  0.355             	  0.355             	 0.0320873260498046	 0.36              	 0.36              	 0.0027563571929931	     0.14              	     0.14              	 0.0109326839447021	   0.235             	   0.235             	 32.32536578178406 	   0.275             	   0.275             	 40.940343141555786	 0.25              	 0.25              	  39.57876133918762 	   0.275             	   0.275             	  25.00429344177246 	 C   	 $\S{2,-2.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.425             	  0.425             	 0.0016365051269531	  0.44              	  0.44              	 0.0331232547760009	  0.46              	  0.46              	 0.040367841720581 	  0.48              	  0.48              	 0.4292881488800049	  0.465             	  0.465             	 0.0012247562408447	  0.485             	  0.485             	 0.0340886116027832	 0.385             	 0.385             	 0.0027105808258056	     0.125             	     0.125             	 0.0111205577850341	   0.34              	   0.34              	 32.40406823158264 	   0.17              	   0.17              	 40.12656474113464 	 0.42              	 0.42              	  38.76255130767822 	   0.485             	   0.485             	  22.52875113487244 	 C   	 $\S{2,-2.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.445             	  0.445             	 0.0017917156219482	  0.415             	  0.415             	 0.0321307182312011	  0.45              	  0.45              	 0.0404791831970214	  0.5               	  0.5               	 0.4280431270599365	  0.48              	  0.48              	 0.0013513565063476	  0.51              	  0.51              	 0.0343062877655029	 0.49              	 0.49              	 0.0026125907897949	     0.155             	     0.155             	 0.0115234851837158	   0.32              	   0.32              	 32.95534539222717 	   0.235             	   0.235             	 40.65970253944397 	 0.295             	 0.295             	  38.6139018535614  	   0.285             	   0.285             	  27.13155460357666 	 C   	 $\S{2,-2.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.325             	  0.325             	 0.001814842224121 	  0.325             	  0.325             	 0.0345621109008789	  0.345             	  0.345             	 0.0378925800323486	  0.37              	  0.37              	 0.4177262783050537	  0.365             	  0.365             	 0.0012257099151611	  0.39              	  0.39              	 0.0344970226287841	 0.31              	 0.31              	 0.0028235912322998	     0.125             	     0.125             	 0.0112524032592773	   0.33              	   0.33              	 33.11115050315857 	   0.295             	   0.295             	 40.9876594543457  	 0.31              	 0.31              	  40.18786239624024 	   0.315             	   0.315             	  25.123867511749268	 C   	 $\S{2,-1.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.395             	  0.395             	 0.0018222332000732	  0.39              	  0.39              	 0.0337693691253662	  0.395             	  0.395             	 0.0350103378295898	  0.435             	  0.435             	 0.4014608860015869	  0.375             	  0.375             	 0.0012359619140625	  0.405             	  0.405             	 0.0358631610870361	 0.36              	 0.36              	 0.0026190280914306	     0.175             	     0.175             	 0.011448860168457 	   0.36              	   0.36              	 32.519848108291626	   0.41              	   0.41              	 41.36056995391846 	 0.33              	 0.33              	  40.37850999832153 	   0.38              	   0.38              	  23.84581184387207 	 C   	 $\S{2,-1.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.295             	  0.295             	 0.0018370151519775	  0.315             	  0.315             	 0.0328836441040039	  0.31              	  0.31              	 0.0400044918060302	  0.335             	  0.335             	 0.396303653717041 	  0.315             	  0.315             	 0.0012645721435546	  0.355             	  0.355             	 0.034574270248413 	 0.345             	 0.345             	 0.0027551651000976	     0.09              	     0.09              	 0.0113346576690673	   0.24              	   0.24              	 33.18351912498474 	   0.165             	   0.165             	 41.70272397994995 	 0.245             	 0.245             	  39.39232397079468 	   0.215             	   0.215             	  22.580913305282596	 C   	 $\S{2,-1.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.27              	  0.27              	 0.0016765594482421	  0.275             	  0.275             	 0.0325415134429931	  0.29              	  0.29              	 0.037644624710083 	  0.31              	  0.31              	 0.4199621677398681	  0.275             	  0.275             	 0.0012531280517578	  0.25              	  0.25              	 0.0317907333374023	 0.27              	 0.27              	 0.0026407241821289	     0.12              	     0.12              	 0.0116701126098632	   0.195             	   0.195             	 32.65666699409485 	   0.305             	   0.305             	 40.263925075531006	 0.195             	 0.195             	  39.1091468334198  	   0.195             	   0.195             	  23.96927762031555 	 C   	 $\S{2,-1.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.27              	  0.27              	 0.0016810894012451	  0.235             	  0.235             	 0.0327959060668945	  0.29              	  0.29              	 0.0377337932586669	  0.3               	  0.3               	 0.4196324348449707	  0.27              	  0.27              	 0.0012338161468505	  0.285             	  0.285             	 0.0344259738922119	 0.325             	 0.325             	 0.0026443004608154	     0.13              	     0.13              	 0.0109405517578125	   0.185             	   0.185             	 32.46740245819092 	   0.16              	   0.16              	 40.903281927108765	 0.23              	 0.23              	  38.373353481292725	   0.21              	   0.21              	  22.265565872192383	 C   	 $\S{2,-1.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.32              	  0.32              	 0.0016911029815673	  0.385             	  0.385             	 0.0328807830810546	  0.325             	  0.325             	 0.0399413108825683	  0.355             	  0.355             	 0.424959659576416 	  0.345             	  0.345             	 0.0012333393096923	  0.395             	  0.395             	 0.0353171825408935	 0.37              	 0.37              	 0.0027639865875244	     0.16              	     0.16              	 0.011016845703125 	   0.29              	   0.29              	 33.25530672073364 	   0.23              	   0.23              	 40.76964044570923 	 0.245             	 0.245             	  39.24956727027893 	   0.28              	   0.28              	  25.31531882286072 	 C   	 $\S{2,-1.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.295             	  0.295             	 0.0017027854919433	  0.335             	  0.335             	 0.0319592952728271	  0.35              	  0.35              	 0.0380029678344726	  0.39              	  0.39              	 0.4060046672821045	  0.345             	  0.345             	 0.0012168884277343	  0.385             	  0.385             	 0.0349214076995849	 0.38              	 0.38              	 0.0029075145721435	     0.205             	     0.205             	 0.0110995769500732	   0.22              	   0.22              	 32.26918411254883 	   0.175             	   0.175             	 40.77335262298584 	 0.26              	 0.26              	  38.44288682937622 	   0.235             	   0.235             	  23.88963794708252 	 C   	 $\S{2,-1.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.325             	  0.325             	 0.0016770362854003	  0.34              	  0.34              	 0.035379409790039 	  0.375             	  0.375             	 0.0406539440155029	  0.325             	  0.325             	 0.4161667823791504	  0.32              	  0.32              	 0.0012705326080322	  0.345             	  0.345             	 0.0322451591491699	 0.28              	 0.28              	 0.0028939247131347	     0.205             	     0.205             	 0.0115585327148437	   0.225             	   0.225             	 32.140061140060425	   0.135             	   0.135             	 41.30979108810425 	 0.275             	 0.275             	  40.0887348651886  	   0.25              	   0.25              	  24.97919631004333 	 C   	 $\S{2,-1.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.205             	  0.205             	 0.0017085075378417	  0.28              	  0.28              	 0.0323209762573242	  0.3               	  0.3               	 0.0386054515838623	  0.29              	  0.29              	 0.4191608428955078	  0.25              	  0.25              	 0.0012600421905517	  0.27              	  0.27              	 0.0351297855377197	 0.25              	 0.25              	 0.0027182102203369	     0.15              	     0.15              	 0.0106725692749023	   0.245             	   0.245             	 32.80576586723328 	   0.195             	   0.195             	 40.99695348739624 	 0.185             	 0.185             	  38.94775295257568 	   0.195             	   0.195             	  24.91345906257629 	 C   	 $\S{2,-1.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.36              	  0.36              	 0.0019974708557128	  0.345             	  0.345             	 0.033017873764038 	  0.37              	  0.37              	 0.0385584831237793	  0.34              	  0.34              	 0.4149858951568603	  0.32              	  0.32              	 0.0012784004211425	  0.385             	  0.385             	 0.0326025485992431	 0.41              	 0.41              	 0.0027956962585449	     0.12              	     0.12              	 0.01072359085083  	   0.265             	   0.265             	 33.5798237323761  	   0.205             	   0.205             	 40.61746788024902 	 0.245             	 0.245             	  39.71245813369751 	   0.255             	   0.255             	  24.182722806930546	 C   	 $\S{2,-1.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.285             	  0.285             	 0.0018301010131835	  0.35              	  0.35              	 0.0352797508239746	  0.34              	  0.34              	 0.0419683456420898	  0.32              	  0.32              	 0.3995361328125   	  0.35              	  0.35              	 0.0014729499816894	  0.29              	  0.29              	 0.0330634117126464	 0.23              	 0.23              	 0.0035116672515869	     0.12              	     0.12              	 0.0113143920898437	   0.315             	   0.315             	 32.996623277664185	   0.255             	   0.255             	 40.97097110748291 	 0.3               	 0.3               	  39.44548201560974 	   0.245             	   0.245             	  27.8118097782135  	 C   	 $\S{2,-0.5}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
