sklearn_dt_f1-micro	sklearn_dt_accuracy	sklearn_dt_time	sklearn_rf_f1-micro	sklearn_rf_accuracy	sklearn_rf_time	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_dt_f1-micro	tangent_dt_accuracy	tangent_dt_time	tangent_rf_f1-micro	tangent_rf_accuracy	tangent_rf_time	knn_f1-micro	knn_accuracy	knn_time	ps_perceptron_f1-micro	ps_perceptron_accuracy	ps_perceptron_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time	kappa_gcn_f1-micro	kappa_gcn_accuracy	kappa_gcn_time	product_mlr_f1-micro	product_mlr_accuracy	product_mlr_time	signature	seed
0.34	0.34	0.002401590347290039	0.355	0.355	0.027255773544311523	0.32	0.32	0.03832840919494629	0.395	0.395	0.434612512588501	0.33	0.33	0.0020334720611572266	0.42	0.42	0.02624654769897461	0.355	0.355	0.0029582977294921875	0.25	0.25	0.012044429779052734	0.285	0.285	35.22567319869995	0.235	0.235	44.18987226486206	0.245	0.245	63.31666135787964	0.2	0.2	30.837555646896362	SE	43
0.365	0.365	0.0023810863494873047	0.395	0.395	0.027791500091552734	0.295	0.295	0.03966784477233887	0.34	0.34	0.4390568733215332	0.37	0.37	0.0020363330841064453	0.37	0.37	0.026897668838500977	0.41	0.41	0.0028533935546875	0.24	0.24	0.012020587921142578	0.33	0.33	35.02272272109985	0.3	0.3	44.60886788368225	0.3	0.3	63.285260915756226	0.105	0.105	31.437631607055664	SE	44
0.38	0.38	0.002441883087158203	0.385	0.385	0.028073787689208984	0.3	0.3	0.04035639762878418	0.44	0.44	0.4552910327911377	0.305	0.305	0.002049684524536133	0.42	0.42	0.026520967483520508	0.37	0.37	0.0028531551361083984	0.315	0.315	0.012199640274047852	0.31	0.31	35.063727617263794	0.235	0.235	44.697918176651	0.195	0.195	63.58521342277527	0.155	0.155	31.09247374534607	SE	45
0.315	0.315	0.0024116039276123047	0.34	0.34	0.02663707733154297	0.305	0.305	0.03915691375732422	0.33	0.33	0.4215245246887207	0.33	0.33	0.001999378204345703	0.305	0.305	0.028522729873657227	0.26	0.26	0.0028684139251708984	0.255	0.255	0.012102842330932617	0.265	0.265	35.38426327705383	0.25	0.25	44.58552622795105	0.285	0.285	63.45037221908569	0.3	0.3	30.75492548942566	SE	46
0.37	0.37	0.0024204254150390625	0.42	0.42	0.02658700942993164	0.345	0.345	0.036454200744628906	0.43	0.43	0.4133477210998535	0.395	0.395	0.002037525177001953	0.435	0.435	0.027542591094970703	0.375	0.375	0.0028574466705322266	0.34	0.34	0.011407136917114258	0.32	0.32	35.08981466293335	0.27	0.27	44.32251858711243	0.135	0.135	63.523720264434814	0.135	0.135	30.946088314056396	SE	47
0.295	0.295	0.0024344921112060547	0.34	0.34	0.026555776596069336	0.32	0.32	0.03833174705505371	0.325	0.325	0.4589722156524658	0.36	0.36	0.002035856246948242	0.37	0.37	0.026409149169921875	0.395	0.395	0.0032308101654052734	0.135	0.135	0.01809859275817871	0.24	0.24	35.22148513793945	0.265	0.265	44.41226363182068	0.115	0.115	63.22249746322632	0.24	0.24	30.676597595214844	SE	48
0.295	0.295	0.0024766921997070312	0.365	0.365	0.026349306106567383	0.335	0.335	0.03824734687805176	0.35	0.35	0.43796300888061523	0.365	0.365	0.002052783966064453	0.355	0.355	0.0277557373046875	0.355	0.355	0.003072500228881836	0.285	0.285	0.012078046798706055	0.36	0.36	35.22141742706299	0.35	0.35	44.289297103881836	0.345	0.345	63.325459718704224	0.035	0.035	30.837124824523926	SE	49
0.315	0.315	0.002644062042236328	0.34	0.34	0.02797722816467285	0.4	0.4	0.04172968864440918	0.44	0.44	0.45201921463012695	0.3	0.3	0.0020508766174316406	0.36	0.36	0.027757644653320312	0.475	0.475	0.003798246383666992	0.13	0.13	0.011789560317993164	0.295	0.295	35.00966191291809	0.205	0.205	43.798354387283325	0.145	0.145	39.164652824401855	0.29	0.29	22.45507049560547	H	50
0.44	0.44	0.0024514198303222656	0.425	0.425	0.027428150177001953	0.385	0.385	0.04107356071472168	0.525	0.525	0.44350743293762207	0.46	0.46	0.0020558834075927734	0.44	0.44	0.026700973510742188	0.445	0.445	0.0027382373809814453	0.185	0.185	0.012056589126586914	0.315	0.315	34.35001492500305	0.12	0.12	44.317594051361084	0.155	0.155	38.95432376861572	0.315	0.315	22.553980588912964	H	51
0.355	0.355	0.002465963363647461	0.385	0.385	0.026324987411499023	0.405	0.405	0.03965878486633301	0.435	0.435	0.43758463859558105	0.38	0.38	0.0020072460174560547	0.415	0.415	0.027560949325561523	0.47	0.47	0.002801656723022461	0.135	0.135	0.011762380599975586	0.305	0.305	34.921478033065796	0.245	0.245	44.011698722839355	0.29	0.29	39.44412446022034	0.385	0.385	22.773982048034668	H	52
0.305	0.305	0.0025022029876708984	0.365	0.365	0.028187036514282227	0.335	0.335	0.03689408302307129	0.375	0.375	0.4411156177520752	0.31	0.31	0.002085447311401367	0.38	0.38	0.026123046875	0.465	0.465	0.0028526782989501953	0.135	0.135	0.011821746826171875	0.26	0.26	34.94404458999634	0.1	0.1	44.429691314697266	0.225	0.225	38.85436773300171	0.3	0.3	22.45832633972168	H	53
0.44	0.44	0.0023949146270751953	0.475	0.475	0.02679753303527832	0.47	0.47	0.04027366638183594	0.545	0.545	0.43454837799072266	0.475	0.475	0.0020503997802734375	0.475	0.475	0.026332378387451172	0.545	0.545	0.0030059814453125	0.19	0.19	0.012307882308959961	0.395	0.395	34.59975504875183	0.165	0.165	44.4522225856781	0.3	0.3	38.94799089431763	0.395	0.395	22.528568267822266	H	54
0.305	0.305	0.0023741722106933594	0.38	0.38	0.02718067169189453	0.335	0.335	0.03786659240722656	0.465	0.465	0.44609856605529785	0.4	0.4	0.0020372867584228516	0.41	0.41	0.0288236141204834	0.425	0.425	0.0028166770935058594	0.205	0.205	0.011613845825195312	0.305	0.305	35.00085234642029	0.04	0.04	44.08695864677429	0.25	0.25	39.034695625305176	0.335	0.335	22.77213454246521	H	55
0.335	0.335	0.0028192996978759766	0.405	0.405	0.0269317626953125	0.38	0.38	0.03847146034240723	0.48	0.48	0.4118332862854004	0.38	0.38	0.002033710479736328	0.42	0.42	0.026763200759887695	0.445	0.445	0.0028009414672851562	0.145	0.145	0.01172637939453125	0.385	0.385	34.94205689430237	0.145	0.145	44.968466997146606	0.315	0.315	39.205304861068726	0.345	0.345	22.63901448249817	H	56
0.255	0.255	0.002376556396484375	0.325	0.325	0.027493000030517578	0.32	0.32	0.04212832450866699	0.34	0.34	0.4550457000732422	0.28	0.28	0.0020294189453125	0.34	0.34	0.026662826538085938	0.375	0.375	0.002836942672729492	0.18	0.18	0.011932849884033203	0.285	0.285	34.91991400718689	0.215	0.215	44.57688856124878	0.16	0.16	39.30108976364136	0.31	0.31	22.540767192840576	H	57
0.46	0.46	0.002604961395263672	0.465	0.465	0.027521133422851562	0.49	0.49	0.042523860931396484	0.54	0.54	0.43510866165161133	0.505	0.505	0.002070188522338867	0.49	0.49	0.028307676315307617	0.495	0.495	0.002735614776611328	0.41	0.41	0.01180887222290039	0.485	0.485	34.94756007194519	0.355	0.355	44.20150184631348	0.41	0.41	39.25739765167236	0.505	0.505	22.59144616127014	H	58
0.26	0.26	0.002498626708984375	0.35	0.35	0.026593923568725586	0.38	0.38	0.03904986381530762	0.375	0.375	0.44678735733032227	0.35	0.35	0.0020377635955810547	0.405	0.405	0.027065753936767578	0.39	0.39	0.002732992172241211	0.175	0.175	0.01178431510925293	0.32	0.32	34.64520335197449	0.21	0.21	44.40317940711975	0.245	0.245	38.960264682769775	0.27	0.27	22.837203979492188	H	59
0.245	0.245	0.002054452896118164	0.285	0.285	0.02700042724609375	0.255	0.255	0.039179325103759766	0.33	0.33	0.4322185516357422	0.245	0.245	0.0020599365234375	0.285	0.285	0.029121875762939453	0.315	0.315	0.0022859573364257812	0.24	0.24	0.014049530029296875	0.315	0.315	35.062352657318115	0.27	0.27	44.29955744743347	0.27	0.27	31.043875455856323	0.31	0.31	18.12320613861084	E	60
