curvature	seed	product_dt_rmse	product_dt_time	product_rf_rmse	product_rf_time	tangent_mlp_rmse	tangent_mlp_time	ambient_mlp_rmse	ambient_mlp_time	tangent_gnn_rmse	tangent_gnn_time	ambient_gnn_rmse	ambient_gnn_time
-4.0	0	0.21369575	0.01068568229675293	0.21162061	0.11426115036010742	0.28104115	0.827932596206665	14.537251	0.8184523582458496	0.33560118	5.247190475463867	45902.46	5.252770185470581
-4.0	1	0.20206651	0.010249853134155273	0.1969062	0.11837244033813477	0.35886696	0.768674373626709	60.474705	0.7981996536254883	1.3597744	5.193886995315552	99740.25	5.177303075790405
-4.0	2	0.17039391	0.010222673416137695	0.16454816	0.11043572425842285	0.3494521	0.7712254524230957	12.615418	0.8090813159942627	0.732869	5.207648277282715	21081.404	5.1906726360321045
-4.0	5	0.17157468	0.010303735733032227	0.16358593	0.11550211906433105	0.32427925	0.7868993282318115	21.025751	0.8259310722351074	0.34648362	5.184854984283447	87632.57	5.233561754226685
-4.0	6	0.18446356	0.01014566421508789	0.19037284	0.11969280242919922	0.40060946	0.7764363288879395	1.2387446	0.8048136234283447	0.35963163	5.189525127410889	3070.569	5.182113409042358
-4.0	7	0.18823126	0.009531021118164062	0.18535672	0.11255121231079102	0.32170826	0.7764556407928467	0.70402837	0.7828755378723145	0.25805858	5.186845064163208	577.8927	5.178393363952637
-4.0	8	0.20037204	0.009984016418457031	0.19856453	0.11597132682800293	0.35937414	0.759831428527832	13.279083	0.7887730598449707	0.3900817	5.197094440460205	9005.592	5.185514688491821
-4.0	9	0.17608242	0.010002613067626953	0.17125346	0.11282086372375488	0.35836458	0.7564270496368408	0.3990025	0.7887814044952393	0.24020395	5.200917482376099	85.8609	5.191101551055908
-2.0	10	0.23859523	0.010404348373413086	0.23810096	0.11730289459228516	0.33738747	0.7798662185668945	0.26433554	0.8002524375915527	0.41203624	5.194296360015869	103.43312	5.201349258422852
-2.0	11	0.23433574	0.010648965835571289	0.22545145	0.12164568901062012	0.39311427	0.7856900691986084	0.39225093	0.8154520988464355	0.6996213	5.212156534194946	15.252179	5.204336643218994
