signature	seed	sklearn_dt_rmse	sklearn_dt_time	sklearn_rf_rmse	sklearn_rf_time	product_dt_rmse	product_dt_time	product_rf_rmse	product_rf_time	tangent_dt_rmse	tangent_dt_time	tangent_rf_rmse	tangent_rf_time	knn_rmse	knn_time	tangent_mlp_rmse	tangent_mlp_time	ambient_mlp_rmse	ambient_mlp_time	tangent_gnn_rmse	tangent_gnn_time	ambient_gnn_rmse	ambient_gnn_time
HH	0	0.17686373378705897	0.0014955997467041016	0.17484018995367204	0.015706300735473633	0.17996126	0.01060032844543457	0.17689598	0.1128535270690918	0.1796066532395856	0.001116037368774414	0.17257378437929238	0.015853166580200195	0.16559912	0.0032935142517089844	0.3633721	0.77213454246521	0.19679663	0.7962536811828613	0.8027727	5.257166624069214	1.4125435	5.2340075969696045
HH	1	0.22028251826434705	0.0015931129455566406	0.21940443854695313	0.01604485511779785	0.22731155	0.011437416076660156	0.21789189	0.11517596244812012	0.22214993268396097	0.001194000244140625	0.21761063293710697	0.016213655471801758	0.2237295	0.0033097267150878906	0.36176366	0.7732324600219727	0.22518496	0.797609806060791	0.3045948	5.202674627304077	3.5488045	5.192629814147949
HH	2	0.1695500303053881	0.0014834403991699219	0.1665291373395533	0.015889883041381836	0.17141517	0.011321067810058594	0.17001751	0.11857008934020996	0.17093531478999613	0.0011470317840576172	0.16378917486551114	0.016034841537475586	0.16825645	0.0031938552856445312	0.28732347	0.7620713710784912	0.19139034	0.7908806800842285	0.20910929	5.20088267326355	1.2971714	5.199333429336548
HH	3	0.16634906146729336	0.0014884471893310547	0.16440021654378686	0.015850067138671875	0.16139458	0.010683774948120117	0.16648887	0.11710906028747559	0.17660630883052686	0.0011560916900634766	0.16378357692627935	0.016330242156982422	0.17043889	0.0034132003784179688	0.30604216	0.7809765338897705	0.2228227	0.8153800964355469	0.5678854	5.19861626625061	19.724777	5.188756942749023
HH	4	0.1907038778721736	0.0014755725860595703	0.18880152850147516	0.015740633010864258	0.20190567	0.011172056198120117	0.1922733	0.11667299270629883	0.20073685067990174	0.0011668205261230469	0.19443178827170315	0.016247034072875977	0.19214596	0.0034017562866210938	0.27442488	0.8038828372955322	0.20169392	0.8160004615783691	0.22698563	5.1998560428619385	2.2412004	5.188878059387207
HH	5	0.18991083486507782	0.0014786720275878906	0.19505846654587317	0.01586008071899414	0.1985767	0.011559724807739258	0.18944317	0.11713409423828125	0.1942029273460189	0.0011057853698730469	0.18310628653752245	0.01573038101196289	0.18752196	0.003212451934814453	0.39320877	0.7656905651092529	0.20801222	0.843158483505249	0.26816663	5.195085048675537	2.1337938	5.196789741516113
HH	6	0.17970953071591902	0.0014560222625732422	0.17849903216641005	0.015681743621826172	0.18456042	0.011437416076660156	0.18343441	0.11895179748535156	0.17885114969480576	0.0010988712310791016	0.17933397637165405	0.015789031982421875	0.19708124	0.0034046173095703125	0.28429997	0.7580194473266602	0.19050126	0.7906391620635986	0.23862956	5.213025808334351	2.3207939	5.190343618392944
HH	7	0.1722331869103025	0.0015261173248291016	0.17274619802135271	0.015860319137573242	0.17789198	0.01085805892944336	0.16777533	0.1175527572631836	0.16806109130051344	0.001138448715209961	0.17353322267951438	0.015921592712402344	0.17270985	0.003306865692138672	0.30566323	0.7529096603393555	0.19268882	0.7827937602996826	0.25703138	5.182441473007202	4.039423	5.172663927078247
HH	8	0.2118185916929662	0.001512765884399414	0.19817253600631235	0.016038894653320312	0.19867073	0.01166844367980957	0.1976551	0.12185025215148926	0.20637271550252662	0.0011491775512695312	0.1988592491779497	0.01567530632019043	0.21128997	0.0032854080200195312	0.37875116	0.7419121265411377	0.21348284	0.7733805179595947	0.24976078	5.1836323738098145	4.3010273	5.183293581008911
HH	9	0.16512416875041844	0.0014801025390625	0.1598948399496848	0.015804767608642578	0.17147687	0.011036157608032227	0.1593744	0.1186532974243164	0.16058222707778427	0.0010449886322021484	0.15553488166350835	0.015563726425170898	0.1552334	0.0030524730682373047	0.26923856	0.7687244415283203	0.19087368	0.8006718158721924	0.21404178	5.203845739364624	4.2652297	5.189133405685425
