sklearn_dt_f1-micro	sklearn_dt_accuracy	sklearn_dt_time	sklearn_rf_f1-micro	sklearn_rf_accuracy	sklearn_rf_time	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_dt_f1-micro	tangent_dt_accuracy	tangent_dt_time	tangent_rf_f1-micro	tangent_rf_accuracy	tangent_rf_time	knn_f1-micro	knn_accuracy	knn_time	ps_perceptron_f1-micro	ps_perceptron_accuracy	ps_perceptron_time	svm_f1-micro	svm_accuracy	svm_time	ps_svm_f1-micro	ps_svm_accuracy	ps_svm_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time	kappa_gcn_f1-micro	kappa_gcn_accuracy	kappa_gcn_time	product_mlr_f1-micro	product_mlr_accuracy	product_mlr_time	curvature	seed
0.25	0.25	0.0012638568878173828	0.26	0.26	0.03274035453796387	0.25	0.25	0.013173580169677734	0.23	0.23	0.10297083854675293	0.265	0.265	0.0009610652923583984	0.295	0.295	0.03359198570251465	0.17	0.17	0.002773284912109375	0.165	0.165	0.010915279388427734	0.205	0.205	0.006910562515258789	0.185	0.185	1.5637438297271729	0.275	0.275	4.608438968658447	0.245	0.245	4.462505340576172	0.05	0.05	6.015897274017334	0.205	0.205	8.183634757995605	0.185	0.185	1.6099531650543213	-0.5	37
0.335	0.335	0.001220703125	0.385	0.385	0.033650875091552734	0.34	0.34	0.00958108901977539	0.355	0.355	0.10424613952636719	0.34	0.34	0.0009627342224121094	0.375	0.375	0.033849239349365234	0.355	0.355	0.0025212764739990234	0.305	0.305	0.01105356216430664	0.305	0.305	0.005729198455810547	0.305	0.305	1.6078777313232422	0.315	0.315	4.2750818729400635	0.345	0.345	4.286560297012329	0.085	0.085	6.044050931930542	0.305	0.305	8.185190439224243	0.27	0.27	2.804655075073242	-0.5	38
0.345	0.345	0.0012624263763427734	0.35	0.35	0.03277277946472168	0.355	0.355	0.009716272354125977	0.345	0.345	0.1025245189666748	0.34	0.34	0.0009744167327880859	0.355	0.355	0.03322339057922363	0.265	0.265	0.002516508102416992	0.305	0.305	0.010553121566772461	0.305	0.305	0.0063762664794921875	0.265	0.265	1.5434143543243408	0.295	0.295	4.601792573928833	0.195	0.195	4.394047260284424	0.055	0.055	6.287604331970215	0.1	0.1	8.572797298431396	0.225	0.225	2.860799789428711	-0.5	39
0.235	0.235	0.0012440681457519531	0.28	0.28	0.03370022773742676	0.285	0.285	0.013218879699707031	0.245	0.245	0.10212159156799316	0.23	0.23	0.0009486675262451172	0.25	0.25	0.034535884857177734	0.205	0.205	0.002649545669555664	0.15	0.15	0.01052236557006836	0.215	0.215	0.006204843521118164	0.2	0.2	1.6189508438110352	0.215	0.215	7.556330680847168	0.24	0.24	7.784632444381714	0.055	0.055	10.851284503936768	0.215	0.215	10.447539329528809	0.23	0.23	2.5969369411468506	-0.25	40
0.29	0.29	0.0012514591217041016	0.235	0.235	0.043978214263916016	0.285	0.285	0.01005697250366211	0.285	0.285	0.10409164428710938	0.275	0.275	0.000978231430053711	0.27	0.27	0.03353428840637207	0.305	0.305	0.0025696754455566406	0.155	0.155	0.010657548904418945	0.235	0.235	0.005960702896118164	0.185	0.185	1.6197166442871094	0.28	0.28	4.464712619781494	0.245	0.245	4.414807319641113	0.145	0.145	10.327100038528442	0.135	0.135	12.011138916015625	0.27	0.27	2.81040096282959	-0.25	41
0.25	0.25	0.0012230873107910156	0.275	0.275	0.03453826904296875	0.195	0.195	0.017520666122436523	0.28	0.28	0.10513162612915039	0.25	0.25	0.0009641647338867188	0.285	0.285	0.03137612342834473	0.235	0.235	0.0025644302368164062	0.155	0.155	0.011104822158813477	0.22	0.22	0.006556987762451172	0.14	0.14	1.58048415184021	0.19	0.19	4.3844335079193115	0.265	0.265	4.393023729324341	0.06	0.06	6.1576080322265625	0.22	0.22	8.356380224227905	0.22	0.22	2.809797763824463	-0.25	42
0.295	0.295	0.0013747215270996094	0.28	0.28	0.03558182716369629	0.295	0.295	0.013449668884277344	0.315	0.315	0.10546445846557617	0.285	0.285	0.0009572505950927734	0.29	0.29	0.03320622444152832	0.34	0.34	0.0024857521057128906	0.19	0.19	0.010577201843261719	0.2	0.2	0.0077991485595703125	0.19	0.19	1.5918073654174805	0.33	0.33	4.5114829540252686	0.295	0.295	4.531481027603149	0.17	0.17	6.19684624671936	0.19	0.19	8.576248168945312	0.265	0.265	2.919677257537842	-0.25	43
0.235	0.235	0.0012183189392089844	0.275	0.275	0.043428659439086914	0.28	0.28	0.017087697982788086	0.3	0.3	0.10330891609191895	0.27	0.27	0.0009407997131347656	0.29	0.29	0.03151130676269531	0.255	0.255	0.002740144729614258	0.15	0.15	0.010767459869384766	0.265	0.265	0.0060770511627197266	0.265	0.265	1.6340727806091309	0.27	0.27	4.383014440536499	0.245	0.245	4.425920248031616	0.265	0.265	6.310527086257935	0.205	0.205	8.767281532287598	0.245	0.245	2.7250730991363525	-0.25	44
0.24	0.24	0.0012497901916503906	0.28	0.28	0.03296160697937012	0.31	0.31	0.015453815460205078	0.265	0.265	0.10526585578918457	0.235	0.235	0.0009665489196777344	0.255	0.255	0.033255577087402344	0.275	0.275	0.002521991729736328	0.16	0.16	0.01068735122680664	0.165	0.165	0.006510734558105469	0.16	0.16	1.4837539196014404	0.21	0.21	4.4845545291900635	0.24	0.24	4.536286115646362	0.16	0.16	5.919387102127075	0.16	0.16	7.967503309249878	0.195	0.195	2.7620558738708496	-0.25	45
0.32	0.32	0.0012183189392089844	0.345	0.345	0.034165382385253906	0.32	0.32	0.012656450271606445	0.355	0.355	0.10107254981994629	0.315	0.315	0.00090789794921875	0.345	0.345	0.03446626663208008	0.275	0.275	0.0024611949920654297	0.145	0.145	0.01048135757446289	0.33	0.33	0.006287574768066406	0.285	0.285	1.5432333946228027	0.35	0.35	4.301935195922852	0.335	0.335	4.647944211959839	0.33	0.33	10.75267243385315	0.085	0.085	14.170799493789673	0.325	0.325	2.8237438201904297	-0.25	46
0.39	0.39	0.0012197494506835938	0.415	0.415	0.033715248107910156	0.455	0.455	0.009510040283203125	0.435	0.435	0.10208892822265625	0.41	0.41	0.0009398460388183594	0.455	0.455	0.03264808654785156	0.41	0.41	0.0025908946990966797	0.07	0.07	0.010833740234375	0.255	0.255	0.0065538883209228516	0.215	0.215	1.573566198348999	0.345	0.345	4.446342706680298	0.415	0.415	4.327753305435181	0.18	0.18	5.834529399871826	0.06	0.06	7.962734937667847	0.335	0.335	2.7609071731567383	-0.25	47
