embedding	seed	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_gnn_adj_f1-micro	tangent_gnn_adj_accuracy	tangent_gnn_adj_time	ambient_gnn_adj_f1-micro	ambient_gnn_adj_accuracy	ambient_gnn_adj_time	tangent_gnn_f1-micro	tangent_gnn_accuracy	tangent_gnn_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time	product_dt_rmse	product_rf_rmse	tangent_mlp_rmse	ambient_mlp_rmse	tangent_gnn_adj_rmse	ambient_gnn_adj_rmse	tangent_gnn_rmse	ambient_gnn_rmse
citeseer	0	0.23459715639810427	0.23459715639810427	0.015318870544433594	0.2559241706161137	0.2559241706161137	0.14258909225463867	0.24644549763033174	0.24644549763033174	0.7895727157592773	0.28199052132701424	0.28199052132701424	0.8071582317352295	0.24170616113744076	0.24170616113744076	0.5580694675445557	0.25118483412322273	0.25118483412322273	0.565455436706543	0.27014218009478674	0.27014218009478674	22.800024032592773	0.27014218009478674	0.27014218009478674	22.79537796974182								
citeseer	1	0.22037914691943128	0.22037914691943128	0.014553546905517578	0.23459715639810427	0.23459715639810427	0.13699030876159668	0.23696682464454977	0.23696682464454977	0.7693798542022705	0.23459715639810427	0.23459715639810427	0.78865647315979	0.23222748815165878	0.23222748815165878	0.5637001991271973	0.2037914691943128	0.2037914691943128	0.5755341053009033	0.25829383886255924	0.25829383886255924	22.864290952682495	0.25829383886255924	0.25829383886255924	22.82576084136963								
citeseer	2	0.25355450236966826	0.25355450236966826	0.014182090759277344	0.2843601895734597	0.2843601895734597	0.1337277889251709	0.26066350710900477	0.26066350710900477	0.7513654232025146	0.25829383886255924	0.25829383886255924	0.8164007663726807	0.28199052132701424	0.28199052132701424	0.5719685554504395	0.27488151658767773	0.27488151658767773	0.5750911235809326	0.2796208530805687	0.2796208530805687	22.863269567489624	0.2796208530805687	0.2796208530805687	22.929422855377197								
citeseer	3	0.24170616113744076	0.24170616113744076	0.015464067459106445	0.24407582938388625	0.24407582938388625	0.13467884063720703	0.26303317535545023	0.26303317535545023	0.7410540580749512	0.26540284360189575	0.26540284360189575	0.7952344417572021	0.2156398104265403	0.2156398104265403	0.5761609077453613	0.23933649289099526	0.23933649289099526	0.5938849449157715	0.23696682464454977	0.23696682464454977	22.899628162384033	0.23696682464454977	0.23696682464454977	22.942994117736816								
citeseer	4	0.3080568720379147	0.3080568720379147	0.014615297317504883	0.2725118483412322	0.2725118483412322	0.13231921195983887	0.24644549763033174	0.24644549763033174	0.7715668678283691	0.26303317535545023	0.26303317535545023	0.7952852249145508	0.23459715639810427	0.23459715639810427	0.5769565105438232	0.24407582938388625	0.24407582938388625	0.5896978378295898	0.24407582938388625	0.24407582938388625	22.9373881816864	0.24407582938388625	0.24407582938388625	22.91854977607727								
citeseer	5	0.2772511848341232	0.2772511848341232	0.014892578125	0.2772511848341232	0.2772511848341232	0.13518595695495605	0.28672985781990523	0.28672985781990523	0.7446136474609375	0.2725118483412322	0.2725118483412322	0.7713799476623535	0.26303317535545023	0.26303317535545023	0.5747246742248535	0.2725118483412322	0.2725118483412322	0.5894336700439453	0.2559241706161137	0.2559241706161137	22.91790008544922	0.2559241706161137	0.2559241706161137	22.928309679031372								
citeseer	6	0.24881516587677724	0.24881516587677724	0.014998197555541992	0.27014218009478674	0.27014218009478674	0.1318345069885254	0.25829383886255924	0.25829383886255924	0.7318716049194336	0.25118483412322273	0.25118483412322273	0.7776730060577393	0.2796208530805687	0.2796208530805687	0.5616097450256348	0.24881516587677724	0.24881516587677724	0.5713808536529541	0.2843601895734597	0.2843601895734597	22.910988092422485	0.2843601895734597	0.2843601895734597	22.929049968719482								
citeseer	7	0.3033175355450237	0.3033175355450237	0.01437234878540039	0.2890995260663507	0.2890995260663507	0.1330866813659668	0.26540284360189575	0.26540284360189575	0.7508313655853271	0.25355450236966826	0.25355450236966826	0.8040242195129395	0.24881516587677724	0.24881516587677724	0.5758941173553467	0.24170616113744076	0.24170616113744076	0.5928318500518799	0.25118483412322273	0.25118483412322273	22.932459115982056	0.25118483412322273	0.25118483412322273	22.95380449295044								
citeseer	8	0.23933649289099526	0.23933649289099526	0.013944387435913086	0.27488151658767773	0.27488151658767773	0.1331329345703125	0.2914691943127962	0.2914691943127962	0.7611539363861084	0.24170616113744076	0.24170616113744076	0.7853643894195557	0.2677725118483412	0.2677725118483412	0.5616250038146973	0.24170616113744076	0.24170616113744076	0.5637848377227783	0.23933649289099526	0.23933649289099526	22.978107929229736	0.23933649289099526	0.23933649289099526	22.98404574394226								
citeseer	9	0.23933649289099526	0.23933649289099526	0.015800952911376953	0.27014218009478674	0.27014218009478674	0.13071918487548828	0.24881516587677724	0.24881516587677724	0.7317001819610596	0.26303317535545023	0.26303317535545023	0.7696540355682373	0.22748815165876776	0.22748815165876776	0.5752120018005371	0.26066350710900477	0.26066350710900477	0.5778720378875732	0.2559241706161137	0.2559241706161137	22.92464566230774	0.2559241706161137	0.2559241706161137	22.976718187332153								
