dataset	seed	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_gnn_f1-micro	tangent_gnn_accuracy	tangent_gnn_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time	product_dt_rmse	product_rf_rmse	tangent_mlp_rmse	ambient_mlp_rmse	tangent_gnn_rmse	ambient_gnn_rmse
landmasses	0	0.835	0.835	0.00931239128112793	0.835	0.835	0.10329627990722656	0.795	0.795	0.7643442153930664	0.855	0.855	0.8159334659576416	0.805	0.805	5.139025688171387	0.775	0.775	5.14749813079834						
landmasses	0	0.86	0.86	0.009548425674438477	0.875	0.875	0.10589265823364258	0.83	0.83	0.756812572479248	0.925	0.925	0.78029465675354	0.795	0.795	5.141417503356934	0.795	0.795	5.159920930862427						
landmasses	0	0.845	0.845	0.009764432907104492	0.85	0.85	0.10539412498474121	0.805	0.805	0.7788667678833008	0.91	0.91	0.7983536720275879	0.635	0.635	5.13868522644043	0.665	0.665	5.144917011260986						
landmasses	0	0.84	0.84	0.009305953979492188	0.855	0.855	0.10346436500549316	0.83	0.83	0.7337603569030762	0.92	0.92	0.7837345600128174	0.76	0.76	5.12527871131897	0.76	0.76	5.133502960205078						
landmasses	0	0.82	0.82	0.00910639762878418	0.855	0.855	0.09970450401306152	0.725	0.725	0.7446796894073486	0.88	0.88	0.7756533622741699	0.625	0.625	5.129955530166626	0.625	0.625	5.134194612503052						
landmasses	0	0.825	0.825	0.00938272476196289	0.83	0.83	0.10169482231140137	0.775	0.775	0.749314546585083	0.9	0.9	0.7871131896972656	0.515	0.515	5.128771543502808	0.66	0.66	5.142261028289795						
landmasses	0	0.85	0.85	0.009420394897460938	0.845	0.845	0.09940910339355469	0.84	0.84	0.7454442977905273	0.94	0.94	0.7752633094787598	0.78	0.78	5.133485555648804	0.78	0.78	5.142151594161987						
landmasses	0	0.83	0.83	0.009460687637329102	0.835	0.835	0.10636711120605469	0.745	0.745	0.7578260898590088	0.905	0.905	0.7711336612701416	0.765	0.765	5.131451606750488	0.765	0.765	5.1338207721710205						
landmasses	0	0.83	0.83	0.009217023849487305	0.83	0.83	0.10358142852783203	0.78	0.78	0.7409543991088867	0.905	0.905	0.7629809379577637	0.68	0.68	5.125826358795166	0.685	0.685	5.1349101066589355						
landmasses	0	0.85	0.85	0.010103702545166016	0.825	0.825	0.10223984718322754	0.78	0.78	0.7338995933532715	0.96	0.96	0.7873427867889404	0.645	0.645	5.127918243408203	0.675	0.675	5.138119459152222						
