dataset	seed	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_gnn_f1-micro	tangent_gnn_accuracy	tangent_gnn_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time	product_dt_rmse	product_rf_rmse	tangent_mlp_rmse	ambient_mlp_rmse	tangent_gnn_rmse	ambient_gnn_rmse
neuron_46	0	0.63	0.63	0.013028621673583984	0.61	0.61	0.11054062843322754	0.445	0.445	0.7742395401000977	0.455	0.455	0.7934205532073975	0.545	0.545	5.135531425476074	0.415	0.415	5.139516353607178						
neuron_46	0	0.64	0.64	0.012552738189697266	0.61	0.61	0.10737061500549316	0.5	0.5	0.7283117771148682	0.52	0.52	0.7848412990570068	0.47	0.47	5.150608777999878	0.515	0.515	5.143943786621094						
neuron_46	0	0.72	0.72	0.01252603530883789	0.65	0.65	0.11157417297363281	0.535	0.535	0.7162573337554932	0.505	0.505	0.7421343326568604	0.51	0.51	5.132007360458374	0.49	0.49	5.143059492111206						
neuron_46	0	0.67	0.67	0.01424860954284668	0.64	0.64	0.11175346374511719	0.475	0.475	0.7430493831634521	0.47	0.47	0.7838165760040283	0.5	0.5	5.155722379684448	0.52	0.52	5.148721694946289						
neuron_46	0	0.615	0.615	0.012017965316772461	0.65	0.65	0.09909439086914062	0.485	0.485	0.7226047515869141	0.47	0.47	0.7658452987670898	0.46	0.46	5.150227069854736	0.48	0.48	5.1454572677612305						
neuron_46	0	0.635	0.635	0.012380599975585938	0.685	0.685	0.11047697067260742	0.525	0.525	0.7589998245239258	0.505	0.505	0.7813222408294678	0.49	0.49	5.14375901222229	0.475	0.475	5.156031608581543						
neuron_46	0	0.665	0.665	0.012489557266235352	0.685	0.685	0.10866570472717285	0.45	0.45	0.7463490962982178	0.445	0.445	0.766718864440918	0.475	0.475	5.148800849914551	0.51	0.51	5.147807598114014						
neuron_46	0	0.585	0.585	0.012655973434448242	0.64	0.64	0.11206173896789551	0.505	0.505	0.7527432441711426	0.45	0.45	0.7775492668151855	0.46	0.46	5.1498682498931885	0.45	0.45	5.14970326423645						
neuron_46	0	0.69	0.69	0.012468338012695312	0.625	0.625	0.11158585548400879	0.475	0.475	0.7444543838500977	0.515	0.515	0.78236985206604	0.525	0.525	5.152794361114502	0.5	0.5	5.144040584564209						
neuron_46	0	0.71	0.71	0.01286935806274414	0.635	0.635	0.10923361778259277	0.55	0.55	0.7513337135314941	0.51	0.51	0.7816059589385986	0.48	0.48	5.140845537185669	0.505	0.505	5.14947509765625						
temperature	0			0.00967550277709961			0.11106300354003906			0.7918198108673096			0.8121888637542725			5.176992654800415			5.162729024887085	10.857818347462432	9.145958632254956	15.643481449067124	12.615939226162098	13.676817487863948	76591.60710596445
temperature	0			0.009239673614501953			0.10534858703613281			0.7834997177124023			0.8186697959899902			5.176773309707642			5.1727612018585205	10.85548215674223	10.584385096743338	15.142010277380313	12.796280421864783	13.225666761590098	67872.57520614806
temperature	0			0.009631156921386719			0.11010861396789551			0.762824296951294			0.8175766468048096			5.186954975128174			5.164091110229492	7.193733324599327	7.6856869202731275	12.42404521540482	13.448923034216712	10.321590649400695	74170.07969881712
temperature	0			0.009239912033081055			0.10597801208496094			0.7715847492218018			0.8374571800231934			5.1749794483184814			5.177892446517944	7.81930170382463	7.98175590470786	12.285615136059695	10.54978398253454	11.633807880150437	81161.15946170349
temperature	0			0.009075403213500977			0.10256123542785645			0.7610692977905273			0.8502287864685059			5.188528060913086			5.162651538848877	6.533120127218659	6.121870845363301	12.702211954193322	9.608647372792056	9.988714904431093	67680.70786569995
temperature	0			0.009196996688842773			0.1061246395111084			0.7871899604797363			0.811821460723877			5.178340196609497			5.160528182983398	7.59907866177679	6.758131618650386	11.848278826028952	9.64625887345459	9.489427937794499	70727.3552849459
temperature	0			0.009353399276733398			0.10347247123718262			0.7691278457641602			0.8063039779663086			5.188678741455078			5.229190111160278	8.792942823619594	7.768958225680774	12.946212750740697	10.93382647435458	11.154135559186896	66140.64055960957
temperature	0			0.009562492370605469			0.10579133033752441			0.7761716842651367			0.812558650970459			5.189699649810791			5.172796249389648	7.619002165317313	7.1387215348143025	12.204714824183286	13.22907748120217	9.83194121582334	75196.7620830764
temperature	0			0.009524345397949219			0.10643982887268066			0.7694225311279297			0.8367335796356201			5.187533378601074			5.159785032272339	7.232307849794343	7.2357542029848565	12.316829304933272	9.420608212259545	10.472620454792308	85895.18801997947
temperature	0			0.009093284606933594			0.10732507705688477			0.7703356742858887			0.8344473838806152			5.190079212188721			5.181715965270996	10.473793968408721	9.90727359987475	14.974718931492463	13.037717279330783	13.493115939402706	77870.73299243338
traffic	0			0.009600639343261719			0.10746145248413086			0.8056156635284424			0.8614130020141602			5.178425550460815			5.178903579711914	0.5910495519638062	0.578039824962616	1.167661428451538	0.8681322336196899	0.9051390886306763	0.9110512733459473
traffic	0			0.00974893569946289			0.10743522644042969			0.7682712078094482			0.8217334747314453			5.167508363723755			5.178743362426758	0.5351483821868896	0.5779409408569336	1.094368815422058	0.8394360542297363	1.0674959421157837	0.9311866760253906
traffic	0			0.00998830795288086			0.1103663444519043			0.7855908870697021			0.7966563701629639			5.174249649047852			5.187918663024902	0.529491662979126	0.5406233072280884	1.1168437004089355	0.791829526424408	0.8994793891906738	0.9019514322280884
traffic	0			0.010192632675170898			0.11258769035339355			0.8165445327758789			0.8226583003997803			5.1753089427948			5.180273056030273	0.5650428533554077	0.6544484496116638	1.235061764717102	0.8779694437980652	0.9205840826034546	0.9320537447929382
traffic	0			0.009856700897216797			0.11077475547790527			0.7792568206787109			0.8072309494018555			5.178443431854248			5.176702260971069	0.5162479281425476	0.5068106651306152	1.0890023708343506	0.7912848591804504	0.8775256872177124	0.8669701814651489
traffic	0			0.009933710098266602			0.10905241966247559			0.7775774002075195			0.8146460056304932			5.176077127456665			5.176658391952515	0.530809760093689	0.557464063167572	1.180362582206726	0.84723961353302	0.864845871925354	0.9130634665489197
traffic	0			0.010083675384521484			0.11056661605834961			0.7789149284362793			0.8305692672729492			5.172930955886841			5.181417942047119	0.493414044380188	0.6126343607902527	1.2050986289978027	0.8869336843490601	0.9658209085464478	0.9673172235488892
traffic	0			0.010162591934204102			0.11156082153320312			0.7747700214385986			0.828336238861084			5.169677495956421			5.183835029602051	0.5978217124938965	0.6143943071365356	1.2196930646896362	0.9123932123184204	1.2116485834121704	1.6070542335510254
traffic	0			0.009678840637207031			0.11017560958862305			0.7858655452728271			0.837632417678833			5.172521352767944			5.184599161148071	0.5726042985916138	0.5776347517967224	1.1431152820587158	0.8693674206733704	0.9336189031600952	0.9450174570083618
traffic	0			0.009697675704956055			0.10811328887939453			0.7827858924865723			0.802668571472168			5.169956684112549			5.182999134063721	0.4910488426685333	0.5259906053543091	1.1642340421676636	0.873283863067627	0.8863157629966736	0.9180217385292053
