sklearn_dt_f1-micro	sklearn_dt_accuracy	sklearn_dt_time	sklearn_rf_f1-micro	sklearn_rf_accuracy	sklearn_rf_time	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_dt_f1-micro	tangent_dt_accuracy	tangent_dt_time	tangent_rf_f1-micro	tangent_rf_accuracy	tangent_rf_time	knn_f1-micro	knn_accuracy	knn_time	ps_perceptron_f1-micro	ps_perceptron_accuracy	ps_perceptron_time	svm_f1-micro	svm_accuracy	svm_time	ps_svm_f1-micro	ps_svm_accuracy	ps_svm_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time	kappa_gcn_f1-micro	kappa_gcn_accuracy	kappa_gcn_time	product_mlr_f1-micro	product_mlr_accuracy	product_mlr_time	signature	seed
0.315	0.315	0.005782365798950195	0.325	0.325	0.23892474174499512	0.305	0.305	0.9206323623657227	0.37	0.37	5.9460413455963135	0.235	0.235	0.0031890869140625	0.365	0.365	0.03190779685974121	0.315	0.315	0.0032660961151123047	0.16	0.16	0.012371540069580078	0.2	0.2	0.006455183029174805	0.2	0.2	1420.6860461235046	0.285	0.285	6.891834735870361	0.32	0.32	4.711983680725098	0.2	0.2	15.153151273727417	0.22	0.22	32.81560277938843	0.275	0.275	3.7121670246124268	HS	20
0.39	0.39	0.0050449371337890625	0.485	0.485	0.03198957443237305	0.305	0.305	0.6013936996459961	0.42	0.42	7.53110671043396	0.35	0.35	0.004148721694946289	0.445	0.445	0.4153785705566406	0.41	0.41	0.02562999725341797	0.24	0.24	0.01612377166748047	0.24	0.24	0.01628398895263672	0.24	0.24	1469.9819679260254	0.375	0.375	8.21618366241455	0.36	0.36	9.537643909454346	0.015	0.015	11.441875457763672	0.24	0.24	31.302851676940918	0.28	0.28	5.803629636764526	HS	21
0.365	0.365	0.007845163345336914	0.485	0.485	0.3043694496154785	0.375	0.375	0.5599808692932129	0.39	0.39	7.288629531860352	0.4	0.4	0.004134654998779297	0.475	0.475	0.05383157730102539	0.495	0.495	0.006661653518676758	0.25	0.25	0.08928489685058594	0.225	0.225	0.008721113204956055	0.225	0.225	1728.7866792678833	0.45	0.45	8.388849258422852	0.42	0.42	7.069872617721558	0.115	0.115	12.04617166519165	0.115	0.115	30.878253698349	0.375	0.375	4.685373067855835	HS	22
0.305	0.305	0.005469799041748047	0.315	0.315	0.04280805587768555	0.295	0.295	1.3621625900268555	0.35	0.35	8.947532892227173	0.33	0.33	0.003999233245849609	0.325	0.325	0.04730343818664551	0.33	0.33	0.004126310348510742	0.185	0.185	0.012739181518554688	0.195	0.195	0.009853839874267578	0.195	0.195	1369.4659388065338	0.3	0.3	6.95752739906311	0.355	0.355	6.219108581542969	0.095	0.095	8.562383890151978	0.12	0.12	22.693131685256958	0.21	0.21	4.041894197463989	HS	23
0.235	0.235	0.008798837661743164	0.32	0.32	0.06268954277038574	0.265	0.265	0.8888435363769531	0.33	0.33	6.421733617782593	0.305	0.305	0.003201007843017578	0.365	0.365	0.03457212448120117	0.315	0.315	0.003156900405883789	0.2	0.2	0.011659622192382812	0.205	0.205	0.006675004959106445	0.205	0.205	1849.0636382102966	0.25	0.25	7.309467554092407	0.305	0.305	5.593388080596924	0.185	0.185	7.833133935928345	0.14	0.14	24.04126238822937	0.23	0.23	3.8505563735961914	HS	24
0.345	0.345	0.00880742073059082	0.435	0.435	0.08113455772399902	0.355	0.355	0.6410617828369141	0.385	0.385	6.214233160018921	0.33	0.33	0.003966093063354492	0.46	0.46	0.10790681838989258	0.465	0.465	0.0035028457641601562	0.315	0.315	0.026211977005004883	0.3	0.3	0.015247344970703125	0.3	0.3	1342.456844329834	0.43	0.43	6.458590745925903	0.435	0.435	6.754817962646484	0.09	0.09	11.420437574386597	0.095	0.095	48.38575863838196	0.185	0.185	5.184734344482422	HS	25
0.275	0.275	0.013864517211914062	0.33	0.33	0.07400131225585938	0.29	0.29	0.7770533561706543	0.325	0.325	7.166219234466553	0.33	0.33	0.004230022430419922	0.335	0.335	0.06731629371643066	0.325	0.325	0.007581472396850586	0.2	0.2	0.013158082962036133	0.26	0.26	0.009183406829833984	0.26	0.26	1209.843215227127	0.33	0.33	9.177262544631958	0.325	0.325	7.127791166305542	0.055	0.055	10.822000503540039	0.26	0.26	30.696139097213745	0.275	0.275	4.125010251998901	HS	26
0.37	0.37	0.015062093734741211	0.41	0.41	0.07116007804870605	0.355	0.355	0.9198462963104248	0.355	0.355	7.243769407272339	0.33	0.33	0.0038046836853027344	0.415	0.415	0.06682538986206055	0.41	0.41	0.007090330123901367	0.145	0.145	0.03790736198425293	0.25	0.25	0.019626855850219727	0.25	0.25	1344.568526983261	0.42	0.42	10.647915601730347	0.395	0.395	7.809286117553711	0.205	0.205	10.532403469085693	0.155	0.155	29.64357352256775	0.3	0.3	3.688518762588501	HS	27
0.295	0.295	0.004494428634643555	0.335	0.335	0.03610682487487793	0.275	0.275	1.152946949005127	0.28	0.28	12.092117309570312	0.29	0.29	0.003988981246948242	0.315	0.315	0.07234597206115723	0.355	0.355	0.009407520294189453	0.18	0.18	0.07894301414489746	0.23	0.23	0.019017696380615234	0.23	0.23	1038.6072745323181	0.32	0.32	6.23740291595459	0.285	0.285	8.31132435798645	0.055	0.055	8.617830276489258	0.23	0.23	23.782108306884766	0.215	0.215	4.759752511978149	HS	28
0.34	0.34	0.004818439483642578	0.36	0.36	0.03255796432495117	0.29	0.29	1.1505372524261475	0.33	0.33	11.44764757156372	0.31	0.31	0.003401041030883789	0.42	0.42	0.03317737579345703	0.37	0.37	0.003953456878662109	0.295	0.295	0.037573814392089844	0.275	0.275	0.0065364837646484375	0.275	0.275	1114.2347695827484	0.275	0.275	9.002492427825928	0.355	0.355	8.111028909683228	0.085	0.085	19.812775135040283	0.275	0.275	42.37430000305176	0.245	0.245	5.468490362167358	HS	29
0.325	0.325	0.006332874298095703	0.385	0.385	0.12803387641906738	0.295	0.295	0.9249897003173828	0.295	0.295	11.631035804748535	0.305	0.305	0.004025697708129883	0.365	0.365	0.08470702171325684	0.32	0.32	0.003995180130004883	0.255	0.255	0.04049396514892578	0.18	0.18	0.009320974349975586	0.18	0.18	1513.2520611286163	0.335	0.335	8.721972703933716	0.19	0.19	9.024879217147827	0.16	0.16	8.33355975151062	0.16	0.16	31.725178480148315	0.285	0.285	3.6543679237365723	SS	30
0.31	0.31	0.011984825134277344	0.325	0.325	0.25441646575927734	0.29	0.29	0.7438521385192871	0.32	0.32	6.821908473968506	0.32	0.32	0.003950357437133789	0.335	0.335	0.07588076591491699	0.345	0.345	0.0051233768463134766	0.25	0.25	0.02036285400390625	0.23	0.23	0.0088958740234375				0.28	0.28	7.659420728683472	0.225	0.225	6.057762861251831	0.11	0.11	7.604812383651733	0.23	0.23	29.85919499397278	0.265	0.265	4.032799243927002	SS	31
0.295	0.295	0.004916191101074219	0.34	0.34	0.03485369682312012	0.305	0.305	0.43852782249450684	0.335	0.335	4.331275224685669	0.295	0.295	0.003604888916015625	0.375	0.375	0.037993669509887695	0.395	0.395	0.0028989315032958984	0.285	0.285	0.011677026748657227	0.29	0.29	0.006048440933227539	0.29	0.29	1454.4622983932495	0.37	0.37	7.773435831069946	0.345	0.345	7.405059576034546	0.195	0.195	10.623223543167114	0.115	0.115	20.177331924438477	0.315	0.315	4.937065362930298	SS	32
0.245	0.245	0.0047457218170166016	0.42	0.42	0.0343477725982666	0.29	0.29	0.4679067134857178	0.345	0.345	4.662243843078613	0.335	0.335	0.0033464431762695312	0.37	0.37	0.03388524055480957	0.385	0.385	0.0029497146606445312	0.24	0.24	0.011416912078857422	0.2	0.2	0.006203651428222656	0.2	0.2	624.7638790607452	0.37	0.37	4.78361701965332	0.27	0.27	4.779126882553101	0.14	0.14	9.766730785369873	0.2	0.2	27.720429182052612	0.245	0.245	4.8849310874938965	SS	33
0.31	0.31	0.004870414733886719	0.355	0.355	0.03345322608947754	0.25	0.25	1.1707017421722412	0.3	0.3	8.231542587280273	0.335	0.335	0.003251791000366211	0.355	0.355	0.03318285942077637	0.34	0.34	0.0029745101928710938	0.24	0.24	0.011896610260009766	0.21	0.21	0.006369113922119141	0.21	0.21	349.4780993461609	0.28	0.28	4.689142227172852	0.33	0.33	4.756920099258423	0.15	0.15	8.507445573806763	0.21	0.21	27.754017114639282	0.32	0.32	4.861360549926758	SS	34
0.365	0.365	0.004771709442138672	0.425	0.425	0.03418254852294922	0.31	0.31	1.1382160186767578	0.375	0.375	6.851299285888672	0.415	0.415	0.0033731460571289062	0.415	0.415	0.03603029251098633	0.425	0.425	0.0030927658081054688	0.24	0.24	0.011620044708251953	0.21	0.21	0.006308317184448242	0.21	0.21	344.6821458339691	0.365	0.365	5.334131717681885	0.33	0.33	4.565800666809082	0.14	0.14	6.6025214195251465	0.12	0.12	26.801148891448975	0.12	0.12	4.7275025844573975	SS	35
0.32	0.32	0.004365444183349609	0.35	0.35	0.03612232208251953	0.305	0.305	1.1754908561706543	0.375	0.375	11.26984190940857	0.265	0.265	0.0036733150482177734	0.355	0.355	0.034163475036621094	0.35	0.35	0.0036787986755371094	0.285	0.285	0.037390708923339844	0.265	0.265	0.006052494049072266	0.265	0.265	338.0041346549988	0.325	0.325	5.360839605331421	0.3	0.3	8.390624046325684	0.095	0.095	12.466624736785889	0.095	0.095	26.296584129333496	0.255	0.255	4.6817381381988525	SS	36
0.305	0.305	0.005195140838623047	0.3	0.3	0.033934593200683594	0.315	0.315	0.5075573921203613	0.335	0.335	4.63779354095459	0.23	0.23	0.0032739639282226562	0.34	0.34	0.03605794906616211	0.305	0.305	0.002748727798461914	0.24	0.24	0.011123895645141602	0.165	0.165	0.0071675777435302734	0.165	0.165	359.7328944206238	0.27	0.27	7.4094626903533936	0.34	0.34	6.6448814868927	0.18	0.18	8.76630711555481	0.115	0.115	21.90497660636902	0.305	0.305	5.075917720794678	SS	37
0.39	0.39	0.00495147705078125	0.435	0.435	0.03660702705383301	0.34	0.34	0.46660733222961426	0.39	0.39	4.42527174949646	0.395	0.395	0.0031464099884033203	0.425	0.425	0.03415656089782715	0.395	0.395	0.0029468536376953125	0.135	0.135	0.010944604873657227	0.205	0.205	0.0062372684478759766	0.205	0.205	349.897775888443	0.385	0.385	8.399773359298706	0.295	0.295	8.867042064666748	0.085	0.085	12.231215953826904	0.205	0.205	21.136207103729248	0.325	0.325	4.921097278594971	SS	38
0.285	0.285	0.004633903503417969	0.385	0.385	0.033750295639038086	0.305	0.305	0.48258423805236816	0.355	0.355	4.678661584854126	0.27	0.27	0.003249645233154297	0.335	0.335	0.0321202278137207	0.41	0.41	0.0029249191284179688	0.23	0.23	0.011821985244750977	0.21	0.21	0.006180286407470703	0.21	0.21	365.0752136707306	0.355	0.355	4.624483108520508	0.335	0.335	4.569986820220947	0.08	0.08	6.472124814987183	0.21	0.21	20.590430736541748	0.21	0.21	4.672259569168091	SS	39
0.265	0.265	0.005012035369873047	0.33	0.33	0.07093358039855957	0.29	0.29	1.1893601417541504	0.355	0.355	10.71135687828064	0.285	0.285	0.003679990768432617	0.33	0.33	0.03274822235107422	0.425	0.425	0.0033643245697021484	0.305	0.305	0.03686928749084473	0.11	0.11	0.006741762161254883	0.2	0.2	183.14597177505493	0.33	0.33	5.0487940311431885	0.33	0.33	4.9285993576049805	0.12	0.12	11.417164087295532	0.12	0.12	20.66917371749878	0.29	0.29	3.712618350982666	SE	40
0.335	0.335	0.003981828689575195	0.325	0.325	0.03373241424560547	0.275	0.275	1.1299402713775635	0.33	0.33	11.028838634490967	0.26	0.26	0.0033125877380371094	0.33	0.33	0.03203082084655762	0.34	0.34	0.0035414695739746094	0.265	0.265	0.04025411605834961	0.135	0.135	0.007309675216674805	0.155	0.155	199.94395542144775	0.365	0.365	4.7624030113220215	0.33	0.33	6.147141933441162	0.06	0.06	10.01591181755066	0.045	0.045	21.522330284118652	0.245	0.245	4.028922080993652	SE	41
0.305	0.305	0.0041272640228271484	0.325	0.325	0.033794403076171875	0.23	0.23	1.2930514812469482	0.285	0.285	11.411383867263794	0.285	0.285	0.0032968521118164062	0.295	0.295	0.04534602165222168	0.325	0.325	0.0028908252716064453	0.28	0.28	0.013012409210205078	0.135	0.135	0.0069882869720458984	0.13	0.13	172.64618015289307	0.32	0.32	6.608004093170166	0.27	0.27	8.57784366607666	0.165	0.165	8.755106449127197	0.235	0.235	21.35556435585022	0.17	0.17	3.7944223880767822	SE	42
0.33	0.33	0.0044040679931640625	0.39	0.39	0.035102128982543945	0.275	0.275	1.1929748058319092	0.365	0.365	10.989678621292114	0.29	0.29	0.003164052963256836	0.35	0.35	0.03351140022277832	0.395	0.395	0.003306865692138672	0.21	0.21	0.04076194763183594	0.14	0.14	0.007266998291015625	0.18	0.18	177.57196521759033	0.32	0.32	4.980093002319336	0.34	0.34	8.774021863937378	0.125	0.125	12.356342315673828	0.125	0.125	21.71479296684265	0.31	0.31	3.352689266204834	SE	43
0.325	0.325	0.003946065902709961	0.41	0.41	0.0302584171295166	0.3	0.3	1.203385829925537	0.335	0.335	11.150655269622803	0.265	0.265	0.0031280517578125	0.395	0.395	0.031672000885009766	0.38	0.38	0.0029931068420410156	0.21	0.21	0.011707067489624023	0.005	0.005	0.006979942321777344	0.095	0.095	155.05370211601257	0.34	0.34	4.83854079246521	0.28	0.28	4.893438100814819	0.1	0.1	6.840837478637695	0.305	0.305	19.224790811538696	0.1	0.1	3.846006155014038	SE	44
0.33	0.33	0.0041294097900390625	0.325	0.325	0.03295254707336426	0.27	0.27	1.066211223602295	0.335	0.335	10.497574090957642	0.265	0.265	0.003266572952270508	0.325	0.325	0.03263688087463379	0.315	0.315	0.003338336944580078	0.175	0.175	0.03992342948913574	0.005	0.005	0.007065773010253906	0.115	0.115	172.9818150997162	0.245	0.245	4.911369800567627	0.25	0.25	4.845626592636108	0.155	0.155	6.785451173782349	0.16	0.16	16.5343074798584	0.265	0.265	4.308304071426392	SE	45
0.31	0.31	0.0041332244873046875	0.3	0.3	0.04315543174743652	0.23	0.23	0.48450613021850586	0.32	0.32	7.119053602218628	0.28	0.28	0.0032749176025390625	0.305	0.305	0.03297257423400879	0.305	0.305	0.0032312870025634766	0.215	0.215	0.03910255432128906	0.265	0.265	0.007536411285400391	0.135	0.135	204.22093057632446	0.3	0.3	8.70594072341919	0.305	0.305	8.819623231887817	0.265	0.265	8.51132845878601	0.265	0.265	21.079142808914185	0.245	0.245	3.4615423679351807	SE	46
0.305	0.305	0.003947734832763672	0.34	0.34	0.03299355506896973	0.28	0.28	1.1613924503326416	0.265	0.265	10.899587869644165	0.255	0.255	0.003231525421142578	0.345	0.345	0.03427386283874512	0.335	0.335	0.003322124481201172	0.32	0.32	0.03698396682739258	0.18	0.18	0.007491111755371094	0.225	0.225	181.95361876487732	0.33	0.33	5.103601932525635	0.305	0.305	4.8873090744018555	0.095	0.095	9.102022409439087	0.11	0.11	21.47798728942871	0.235	0.235	3.876697301864624	SE	47
0.275	0.275	0.004308223724365234	0.345	0.345	0.03268623352050781	0.275	0.275	1.1245753765106201	0.31	0.31	10.787188291549683	0.29	0.29	0.0031206607818603516	0.345	0.345	0.03277230262756348	0.365	0.365	0.002788543701171875	0.235	0.235	0.010809898376464844	0.15	0.15	0.008716344833374023	0.125	0.125	202.46445155143738	0.31	0.31	8.79699182510376	0.3	0.3	9.096303224563599	0.135	0.135	9.660892248153687	0.12	0.12	19.86704182624817	0.095	0.095	4.367081165313721	SE	48
