dataset	seed	product_dt_accuracy	product_dt_f1-micro	product_dt_time	product_rf_accuracy	product_rf_f1-micro	product_rf_time	tangent_mlp_accuracy	tangent_mlp_f1-micro	tangent_mlp_time	ambient_mlp_accuracy	ambient_mlp_f1-micro	ambient_mlp_time	tangent_gnn_accuracy	tangent_gnn_f1-micro	tangent_gnn_time	ambient_gnn_accuracy	ambient_gnn_f1-micro	ambient_gnn_time
adjnoun	0	0.9149338374291115	0.9149338374291115	0.020204544067382812	0.943289224952741	0.943289224952741	0.13732457160949707	0.8865784499054821	0.8865784499054821	0.7588889598846436	0.9319470699432892	0.9319470699432892	0.788074254989624	0.943289224952741	0.943289224952741	7.722901344299316	0.943289224952741	0.943289224952741	7.7283034324646
adjnoun	1	0.943289224952741	0.943289224952741	0.01616215705871582	0.943289224952741	0.943289224952741	0.12740111351013184	0.941398865784499	0.941398865784499	0.7474119663238525	0.943289224952741	0.943289224952741	0.7780971527099609	0.943289224952741	0.943289224952741	7.71828031539917	0.943289224952741	0.943289224952741	7.7311131954193115
adjnoun	2	0.8733459357277883	0.8733459357277883	0.016711950302124023	0.8714555765595463	0.8714555765595463	0.11895537376403809	0.8412098298676749	0.8412098298676749	0.8332786560058594	0.8052930056710775	0.8052930056710775	0.773160457611084	0.8714555765595463	0.8714555765595463	7.726905107498169	0.8714555765595463	0.8714555765595463	7.7407848834991455
adjnoun	3	0.9281663516068053	0.9281663516068053	0.01699995994567871	0.943289224952741	0.943289224952741	0.11597180366516113	0.8771266540642723	0.8771266540642723	0.7399024963378906	0.8733459357277883	0.8733459357277883	0.7727994918823242	0.943289224952741	0.943289224952741	7.753256320953369	0.943289224952741	0.943289224952741	7.757927179336548
adjnoun	4	0.8922495274102079	0.8922495274102079	0.01693248748779297	0.943289224952741	0.943289224952741	0.126051664352417	0.9035916824196597	0.9035916824196597	0.752305269241333	0.9187145557655955	0.9187145557655955	0.7925858497619629	0.943289224952741	0.943289224952741	7.752001047134399	0.943289224952741	0.943289224952741	7.767646789550781
adjnoun	5	0.9243856332703214	0.9243856332703214	0.017723560333251953	0.9357277882797732	0.9357277882797732	0.1286330223083496	0.9300567107750473	0.9300567107750473	0.7401869297027588	0.9224952741020794	0.9224952741020794	0.7885267734527588	0.9357277882797732	0.9357277882797732	7.754518032073975	0.9357277882797732	0.9357277882797732	7.760874271392822
adjnoun	6	0.9546313799621928	0.9546313799621928	0.01875925064086914	0.9659735349716446	0.9659735349716446	0.1471872329711914	0.9168241965973535	0.9168241965973535	0.7424728870391846	0.9338374291115312	0.9338374291115312	0.7755708694458008	0.9659735349716446	0.9659735349716446	7.7627341747283936	0.9659735349716446	0.9659735349716446	7.788141965866089
adjnoun	7	0.947069943289225	0.947069943289225	0.02012491226196289	0.947069943289225	0.947069943289225	0.14323854446411133	0.9319470699432892	0.9319470699432892	0.7633867263793945	0.9338374291115312	0.9338374291115312	0.7830021381378174	0.947069943289225	0.947069943289225	7.776871681213379	0.947069943289225	0.947069943289225	7.7890095710754395
adjnoun	8	0.9319470699432892	0.9319470699432892	0.016813278198242188	0.9395085066162571	0.9395085066162571	0.13610577583312988	0.9243856332703214	0.9243856332703214	0.7703046798706055	0.9300567107750473	0.9300567107750473	0.7945308685302734	0.9395085066162571	0.9395085066162571	7.791918516159058	0.9395085066162571	0.9395085066162571	7.796672344207764
adjnoun	9	0.9357277882797732	0.9357277882797732	0.017305612564086914	0.947069943289225	0.947069943289225	0.14426803588867188	0.8279773156899811	0.8279773156899811	0.7589917182922363	0.8657844990548205	0.8657844990548205	0.7908201217651367	0.947069943289225	0.947069943289225	7.797868013381958	0.947069943289225	0.947069943289225	7.800514459609985
dolphins	0	0.9763313609467456	0.9763313609467456	0.01831793785095215	0.9408284023668639	0.9408284023668639	0.12035012245178223	0.9467455621301775	0.9467455621301775	0.7728376388549805	0.9467455621301775	0.9467455621301775	0.8617730140686035	0.9408284023668639	0.9408284023668639	7.79797887802124	0.9408284023668639	0.9408284023668639	7.801405191421509
dolphins	1	0.9289940828402367	0.9289940828402367	0.021356582641601562	0.9408284023668639	0.9408284023668639	0.13857388496398926	0.9171597633136095	0.9171597633136095	0.7741763591766357	0.8816568047337278	0.8816568047337278	0.7925465106964111	0.9408284023668639	0.9408284023668639	7.782158613204956	0.9408284023668639	0.9408284023668639	7.791510820388794
dolphins	2	0.8875739644970414	0.8875739644970414	0.016781091690063477	0.8875739644970414	0.8875739644970414	0.12388491630554199	0.9171597633136095	0.9171597633136095	0.7466528415679932	0.8757396449704142	0.8757396449704142	0.8640894889831543	0.8816568047337278	0.8816568047337278	7.820997476577759	0.8816568047337278	0.8816568047337278	7.807319641113281
dolphins	3	0.9763313609467456	0.9763313609467456	0.020003318786621094	0.9289940828402367	0.9289940828402367	0.137739896774292	0.9467455621301775	0.9467455621301775	0.7674696445465088	0.9467455621301775	0.9467455621301775	0.7613439559936523	0.9289940828402367	0.9289940828402367	7.800812244415283	0.9289940828402367	0.9289940828402367	7.802231073379517
dolphins	4	0.9763313609467456	0.9763313609467456	0.01646280288696289	0.9526627218934911	0.9526627218934911	0.12535619735717773	0.9526627218934911	0.9526627218934911	0.745720624923706	0.9289940828402367	0.9289940828402367	0.8150064945220947	0.9526627218934911	0.9526627218934911	7.829813003540039	0.9526627218934911	0.9526627218934911	7.803526163101196
dolphins	5	0.9763313609467456	0.9763313609467456	0.01973247528076172	0.9289940828402367	0.9289940828402367	0.14048051834106445	0.893491124260355	0.893491124260355	0.8485274314880371	0.9349112426035503	0.9349112426035503	0.8081760406494141	0.9289940828402367	0.9289940828402367	7.811878442764282	0.9289940828402367	0.9289940828402367	7.819701671600342
dolphins	6	0.9408284023668639	0.9408284023668639	0.017220258712768555	0.9289940828402367	0.9289940828402367	0.11876487731933594	0.9349112426035503	0.9349112426035503	0.7503366470336914	0.9289940828402367	0.9289940828402367	0.7879388332366943	0.9289940828402367	0.9289940828402367	7.840736627578735	0.9289940828402367	0.9289940828402367	7.7966694831848145
dolphins	7	0.9822485207100592	0.9822485207100592	0.01760077476501465	0.893491124260355	0.893491124260355	0.13884925842285156	0.9585798816568047	0.9585798816568047	0.8324100971221924	0.9349112426035503	0.9349112426035503	0.824160099029541	0.893491124260355	0.893491124260355	7.806165933609009	0.893491124260355	0.893491124260355	7.801164865493774
dolphins	8	0.9408284023668639	0.9408284023668639	0.015752077102661133	0.9053254437869822	0.9053254437869822	0.13093829154968262	0.9289940828402367	0.9289940828402367	0.7411596775054932	0.9408284023668639	0.9408284023668639	0.7840986251831055	0.9053254437869822	0.9053254437869822	7.809837102890015	0.9053254437869822	0.9053254437869822	7.814820051193237
dolphins	9	0.9289940828402367	0.9289940828402367	0.015737533569335938	0.8816568047337278	0.8816568047337278	0.1142585277557373	0.8875739644970414	0.8875739644970414	0.8173162937164307	0.8698224852071006	0.8698224852071006	0.8479948043823242	0.8816568047337278	0.8816568047337278	7.817571640014648	0.8816568047337278	0.8816568047337278	7.843934059143066
football	0	0.9591836734693877	0.9591836734693877	0.015520572662353516	0.9591836734693877	0.9591836734693877	0.11926460266113281	0.9387755102040817	0.9387755102040817	0.7297773361206055	0.9591836734693877	0.9591836734693877	0.7645988464355469	0.9591836734693877	0.9591836734693877	4.988402366638184	0.9591836734693877	0.9591836734693877	4.9928810596466064
football	1	0.9183673469387755	0.9183673469387755	0.014527320861816406	0.9183673469387755	0.9183673469387755	0.11666107177734375	0.8571428571428571	0.8571428571428571	0.7300667762756348	0.7755102040816326	0.7755102040816326	0.775322437286377	0.9183673469387755	0.9183673469387755	5.0478363037109375	0.9183673469387755	0.9183673469387755	5.0039567947387695
football	2	0.7551020408163265	0.7551020408163265	0.013439416885375977	0.7959183673469388	0.7959183673469388	0.12395048141479492	0.8163265306122449	0.8163265306122449	0.7516770362854004	0.7755102040816326	0.7755102040816326	0.8166713714599609	0.7959183673469388	0.7959183673469388	5.022911548614502	0.7959183673469388	0.7959183673469388	4.974534034729004
