dataset	seed	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_gnn_f1-micro	tangent_gnn_accuracy	tangent_gnn_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time	product_dt_rmse	product_rf_rmse	tangent_mlp_rmse	ambient_mlp_rmse	tangent_gnn_rmse	ambient_gnn_rmse
landmasses	0	1.0	1.0	0.004006385803222656	1.0	1.0	0.03077530860900879	0.5	0.5	0.7066898345947266	0.5	0.5	0.7465472221374512	0.5	0.5	0.5526759624481201	0.5	0.5	0.5548028945922852						
neuron_33	0	1.0	1.0	0.00576019287109375	0.0	0.0	0.03178215026855469	1.0	1.0	0.707733154296875	0.0	0.0	0.7411491870880127	0.0	0.0	0.5550045967102051	0.0	0.0	0.5553200244903564						
neuron_46	0	0.5	0.5	0.0039675235748291016	0.0	0.0	0.02816295623779297	0.5	0.5	0.7080416679382324	0.0	0.0	0.7523195743560791	0.5	0.5	0.5481956005096436	0.0	0.0	0.5585627555847168						
temperature	0			0.00678706169128418			0.06245064735412598			0.7420692443847656			0.791325569152832			0.5569641590118408			0.5682425498962402	8.737562465853738	12.720376669490502	15.705658463940667	2.31167625321489	15.300907267045673	66915.56884845767
traffic	0			0.007082223892211914			0.06544041633605957			0.7496280670166016			0.8029029369354248			0.5571873188018799			0.5667448043823242	1.1615053415298462	1.3340831995010376	1.493422508239746	1.6392825841903687	1.1849210262298584	2.3025598526000977
